Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/21/2011, 15:44:16, Switching to instrument 0
07/21/2011, 15:44:48, Note,1
07/21/2011, 15:44:49, Note,1
07/21/2011, 15:44:49, Note,1
07/21/2011, 15:44:49, Note,2
07/21/2011, 15:44:49, Note,3
07/21/2011, 15:44:49, Note,4
07/21/2011, 15:44:49, Note,5
07/21/2011, 15:44:50, Note,7
07/21/2011, 15:44:50, Note,8
07/21/2011, 15:44:51, Note,8
07/21/2011, 15:44:51, Note,7
07/21/2011, 15:44:51, Note,6
07/21/2011, 15:44:51, Note,5
07/21/2011, 15:44:51, Note,3
07/21/2011, 15:44:51, Note,2
07/21/2011, 15:44:52, Note,1
07/21/2011, 15:44:53, Switching to instrument 3
07/21/2011, 15:44:55, Note,7
07/21/2011, 15:44:55, Note,7
07/21/2011, 15:44:55, Note,8
07/21/2011, 15:44:55, Note,7
07/21/2011, 15:44:55, Note,6
07/21/2011, 15:44:55, Note,3
07/21/2011, 15:44:56, Note,6
07/21/2011, 15:44:56, Note,4
07/21/2011, 15:44:56, Note,3
07/21/2011, 15:44:56, Note,2
07/21/2011, 15:44:56, Note,5
07/21/2011, 15:44:56, Note,1
07/21/2011, 15:44:56, Note,4
07/21/2011, 15:44:56, Note,1
07/21/2011, 15:44:57, Note,2
07/21/2011, 15:44:57, Note,4
07/21/2011, 15:44:57, Note,2
07/21/2011, 15:44:57, Note,4
07/21/2011, 15:44:57, Note,1
07/21/2011, 15:44:57, Note,1
07/21/2011, 15:44:57, Note,1
07/21/2011, 15:44:57, Note,2
07/21/2011, 15:44:57, Note,4
07/21/2011, 15:44:57, Note,3
07/21/2011, 15:44:57, Note,6
07/21/2011, 15:44:58, Note,3
07/21/2011, 15:44:58, Note,2
07/21/2011, 15:44:58, Note,2
07/21/2011, 15:44:58, Note,6
07/21/2011, 15:44:58, Note,3
07/21/2011, 15:44:58, Note,7
07/21/2011, 15:44:58, Note,4
07/21/2011, 15:44:58, Note,5
07/21/2011, 15:44:58, Note,7
07/21/2011, 15:44:58, Note,4
07/21/2011, 15:44:58, Note,3
07/21/2011, 15:44:58, Note,2
07/21/2011, 15:44:59, Note,7
07/21/2011, 15:44:59, Note,4
07/21/2011, 15:44:59, Note,8
07/21/2011, 15:44:59, Note,5
07/21/2011, 15:44:59, Note,4
07/21/2011, 15:44:59, Note,3
07/21/2011, 15:44:59, Note,6
07/21/2011, 15:44:59, Note,2
07/21/2011, 15:44:59, Note,7
07/21/2011, 15:44:59, Note,3
07/21/2011, 15:44:59, Note,4
07/21/2011, 15:45:00, Note,3
07/21/2011, 15:45:00, Note,6
07/21/2011, 15:45:00, Note,2
07/21/2011, 15:45:00, Note,5
07/21/2011, 15:45:00, Note,1
07/21/2011, 15:45:00, Note,1
07/21/2011, 15:45:00, Note,2
07/21/2011, 15:45:00, Note,3
07/21/2011, 15:45:00, Note,3
07/21/2011, 15:45:00, Note,2
07/21/2011, 15:45:00, Note,1
07/21/2011, 15:45:00, Note,3
07/21/2011, 15:45:01, Note,1
07/21/2011, 15:45:01, Note,4
07/21/2011, 15:45:01, Note,2
07/21/2011, 15:45:01, Note,3
07/21/2011, 15:45:01, Note,6
07/21/2011, 15:45:01, Note,5
07/21/2011, 15:45:01, Note,2
07/21/2011, 15:45:01, Note,5
07/21/2011, 15:45:01, Note,6
07/21/2011, 15:45:01, Note,4
07/21/2011, 15:45:01, Note,7
07/21/2011, 15:45:01, Note,5
07/21/2011, 15:45:02, Note,8
07/21/2011, 15:45:02, Note,7
07/21/2011, 15:45:02, Note,5
07/21/2011, 15:45:02, Note,3
07/21/2011, 15:45:02, Note,7
07/21/2011, 15:45:02, Note,8
07/21/2011, 15:45:02, Note,4
07/21/2011, 15:45:02, Note,5
07/21/2011, 15:45:02, Note,5
07/21/2011, 15:45:02, Note,8
07/21/2011, 15:45:02, Note,5
07/21/2011, 15:45:02, Note,6
07/21/2011, 15:45:02, Note,3
07/21/2011, 15:45:02, Note,2
07/21/2011, 15:45:02, Note,1
07/21/2011, 15:45:02, Note,7
07/21/2011, 15:45:03, Note,7
07/21/2011, 15:45:03, Note,2
07/21/2011, 15:45:03, Note,3
07/21/2011, 15:45:03, Note,7
07/21/2011, 15:45:03, Note,3
07/21/2011, 15:45:03, Note,6
07/21/2011, 15:45:03, Note,2
07/21/2011, 15:45:03, Note,5
07/21/2011, 15:45:03, Note,1
07/21/2011, 15:45:03, Note,3
07/21/2011, 15:45:03, Note,3
07/21/2011, 15:45:03, Note,1
07/21/2011, 15:45:03, Note,4
07/21/2011, 15:45:03, Note,2
07/21/2011, 15:45:04, Note,3
07/21/2011, 15:45:04, Note,6
07/21/2011, 15:45:04, Note,6
07/21/2011, 15:45:04, Note,5
07/21/2011, 15:45:04, Note,1
07/21/2011, 15:45:04, Note,4
07/21/2011, 15:45:04, Note,1
07/21/2011, 15:45:04, Note,2
07/21/2011, 15:45:04, Note,4
07/21/2011, 15:45:04, Note,6
07/21/2011, 15:45:04, Note,7
