Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
05/18/2011, 15:44:06, Note,4
05/18/2011, 15:44:06, Switching to instrument 2
05/18/2011, 15:44:06, Note,3
05/18/2011, 15:44:06, Note,4
05/18/2011, 15:44:06, Note,2
05/18/2011, 15:44:06, Note,4
05/18/2011, 15:44:06, Note,2
05/18/2011, 15:44:07, Note,2
05/18/2011, 15:44:18, Screen Saver
05/18/2011, 15:44:29, Screen Saver
05/18/2011, 15:44:40, Screen Saver
05/18/2011, 15:44:51, Screen Saver
05/18/2011, 15:44:53, Note,8
05/18/2011, 15:44:53, Note,6
05/18/2011, 15:44:54, Note,4
05/18/2011, 15:44:54, Note,2
05/18/2011, 15:44:54, Note,2
05/18/2011, 15:44:54, Note,3
05/18/2011, 15:44:55, Note,5
05/18/2011, 15:44:55, Note,6
05/18/2011, 15:44:55, Note,8
05/18/2011, 15:44:55, Note,6
05/18/2011, 15:44:55, Note,4
05/18/2011, 15:44:56, Note,4
05/18/2011, 15:44:56, Note,5
05/18/2011, 15:44:57, Note,5
05/18/2011, 15:45:07, Screen Saver
05/18/2011, 15:45:18, Screen Saver
05/18/2011, 15:45:29, Screen Saver
05/18/2011, 15:45:40, Screen Saver
05/18/2011, 15:45:51, Screen Saver
05/18/2011, 15:46:02, Screen Saver
05/18/2011, 15:46:13, Screen Saver
05/18/2011, 15:46:24, Screen Saver
05/18/2011, 15:46:35, Screen Saver
05/18/2011, 15:46:46, Screen Saver
05/18/2011, 15:46:57, Screen Saver
05/18/2011, 15:47:02, Note,2
05/18/2011, 15:47:02, Note,2
05/18/2011, 15:47:02, Note,3
05/18/2011, 15:47:02, Note,4
05/18/2011, 15:47:02, Note,6
05/18/2011, 15:47:02, Note,7
05/18/2011, 15:47:02, Note,6
05/18/2011, 15:47:03, Note,8
05/18/2011, 15:47:03, Note,5
05/18/2011, 15:47:03, Note,5
05/18/2011, 15:47:03, Note,8
05/18/2011, 15:47:03, Note,7
05/18/2011, 15:47:03, Note,6
05/18/2011, 15:47:03, Note,4
05/18/2011, 15:47:04, Note,4
05/18/2011, 15:47:04, Note,2
05/18/2011, 15:47:04, Note,6
05/18/2011, 15:47:04, Note,4
05/18/2011, 15:47:04, Note,5
05/18/2011, 15:47:04, Note,5
05/18/2011, 15:47:04, Note,6
05/18/2011, 15:47:04, Note,4
05/18/2011, 15:47:04, Note,4
05/18/2011, 15:47:04, Note,5
