Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
05/14/2011, 16:52:26, Note,5
05/14/2011, 16:52:26, Note,5
05/14/2011, 16:52:26, Note,5
05/14/2011, 16:52:27, Note,5
05/14/2011, 16:52:27, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:28, Note,5
05/14/2011, 16:52:29, Note,5
05/14/2011, 16:52:29, Note,5
05/14/2011, 16:52:30, Note,6
05/14/2011, 16:52:32, Switching to instrument 3
05/14/2011, 16:52:32, Note,7
05/14/2011, 16:52:33, Note,7
05/14/2011, 16:52:33, Note,7
05/14/2011, 16:52:33, Note,7
05/14/2011, 16:52:34, Note,7
05/14/2011, 16:52:34, Switching to instrument 4
05/14/2011, 16:52:37, Note,7
05/14/2011, 16:52:38, Switching to noises
05/14/2011, 16:52:41, Switching to instrument 0
05/14/2011, 16:52:43, Note,7
05/14/2011, 16:52:45, Note,7
05/14/2011, 16:52:47, Note,8
05/14/2011, 16:52:47, Note,8
05/14/2011, 16:52:49, Note,8
05/14/2011, 16:52:52, Note,1
05/14/2011, 16:52:52, Note,1
05/14/2011, 16:52:52, Note,1
05/14/2011, 16:52:52, Note,1
05/14/2011, 16:52:52, Note,3
05/14/2011, 16:52:52, Note,2
05/14/2011, 16:52:52, Note,3
05/14/2011, 16:52:53, Note,3
05/14/2011, 16:52:53, Note,3
05/14/2011, 16:52:53, Note,4
05/14/2011, 16:52:53, Note,5
05/14/2011, 16:52:53, Note,6
05/14/2011, 16:52:53, Note,7
05/14/2011, 16:52:54, Note,8
05/14/2011, 16:52:54, Note,8
05/14/2011, 16:52:54, Note,8
05/14/2011, 16:52:54, Note,7
05/14/2011, 16:52:55, Note,6
05/14/2011, 16:52:55, Note,5
05/14/2011, 16:52:55, Note,4
05/14/2011, 16:52:55, Note,3
05/14/2011, 16:52:56, Note,1
05/14/2011, 16:52:56, Note,1
05/14/2011, 16:52:57, Note,1
05/14/2011, 16:52:57, Note,2
05/14/2011, 16:52:57, Note,2
05/14/2011, 16:52:58, Note,3
05/14/2011, 16:52:58, Note,1
05/14/2011, 16:52:58, Note,3
05/14/2011, 16:52:58, Note,1
05/14/2011, 16:52:58, Note,2
05/14/2011, 16:52:59, Note,3
05/14/2011, 16:52:59, Note,4
05/14/2011, 16:52:59, Note,4
05/14/2011, 16:52:59, Note,5
05/14/2011, 16:53:00, Note,5
05/14/2011, 16:53:00, Note,5
05/14/2011, 16:53:00, Note,6
05/14/2011, 16:53:00, Note,7
05/14/2011, 16:53:01, Note,8
