Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/07/2011, 08:50:52, Note,4
07/07/2011, 08:50:52, Note,5
07/07/2011, 08:50:52, Note,5
07/07/2011, 08:50:52, Switching to instrument 1
07/07/2011, 08:50:52, Note,4
07/07/2011, 08:50:52, Note,2
07/07/2011, 08:50:53, Note,1
07/07/2011, 08:50:53, Note,3
07/07/2011, 08:50:53, Note,4
07/07/2011, 08:50:53, Note,5
07/07/2011, 08:50:54, Switching to instrument 2
07/07/2011, 08:50:54, Note,2
07/07/2011, 08:50:54, Note,1
07/07/2011, 08:50:54, Note,1
07/07/2011, 08:50:55, Note,1
07/07/2011, 08:50:55, Note,2
07/07/2011, 08:50:55, Note,3
07/07/2011, 08:51:05, Screen Saver
07/07/2011, 08:51:16, Screen Saver
07/07/2011, 08:51:27, Screen Saver
07/07/2011, 08:51:38, Screen Saver
07/07/2011, 08:51:49, Screen Saver
07/07/2011, 08:52:00, Screen Saver
07/07/2011, 08:52:11, Screen Saver
07/07/2011, 08:52:22, Screen Saver
07/07/2011, 08:52:33, Screen Saver
07/07/2011, 08:52:44, Screen Saver
07/07/2011, 08:52:55, Screen Saver
07/07/2011, 08:53:06, Screen Saver
07/07/2011, 08:53:17, Screen Saver
07/07/2011, 08:53:28, Screen Saver
07/07/2011, 08:53:39, Screen Saver
07/07/2011, 08:53:50, Screen Saver
07/07/2011, 08:54:01, Screen Saver
07/07/2011, 08:54:12, Screen Saver
07/07/2011, 08:54:23, Screen Saver
07/07/2011, 08:54:34, Screen Saver
07/07/2011, 08:54:45, Screen Saver
07/07/2011, 08:54:56, Screen Saver
07/07/2011, 08:55:07, Screen Saver
07/07/2011, 08:55:18, Screen Saver
07/07/2011, 08:55:29, Screen Saver
07/07/2011, 08:55:40, Screen Saver
07/07/2011, 08:55:51, Screen Saver
07/07/2011, 08:56:02, Screen Saver
07/07/2011, 08:56:13, Screen Saver
07/07/2011, 08:56:24, Screen Saver
07/07/2011, 08:56:35, Screen Saver
07/07/2011, 08:56:46, Screen Saver
07/07/2011, 08:56:57, Screen Saver
07/07/2011, 08:57:08, Screen Saver
07/07/2011, 08:57:19, Screen Saver
07/07/2011, 08:57:30, Screen Saver
07/07/2011, 08:57:41, Screen Saver
07/07/2011, 08:57:52, Screen Saver
07/07/2011, 08:58:03, Screen Saver
07/07/2011, 08:58:14, Screen Saver
07/07/2011, 08:58:25, Screen Saver
07/07/2011, 08:58:36, Screen Saver
07/07/2011, 08:58:47, Screen Saver
07/07/2011, 08:58:58, Screen Saver
07/07/2011, 08:59:09, Screen Saver
07/07/2011, 08:59:20, Screen Saver
07/07/2011, 08:59:31, Screen Saver
07/07/2011, 08:59:42, Screen Saver
07/07/2011, 08:59:53, Screen Saver
07/07/2011, 09:00:04, Screen Saver
07/07/2011, 09:00:15, Screen Saver
07/07/2011, 09:00:26, Screen Saver
07/07/2011, 09:00:37, Screen Saver
07/07/2011, 09:00:48, Screen Saver
07/07/2011, 09:00:59, Screen Saver
07/07/2011, 09:01:10, Screen Saver
07/07/2011, 09:01:21, Screen Saver
07/07/2011, 09:01:32, Screen Saver
07/07/2011, 09:01:43, Screen Saver
07/07/2011, 09:01:54, Screen Saver
07/07/2011, 09:02:05, Screen Saver
07/07/2011, 09:02:16, Screen Saver
07/07/2011, 09:02:27, Screen Saver
07/07/2011, 09:02:38, Screen Saver
07/07/2011, 09:02:49, Screen Saver
07/07/2011, 09:03:00, Screen Saver
07/07/2011, 09:03:11, Screen Saver
07/07/2011, 09:03:22, Screen Saver
07/07/2011, 09:03:33, Screen Saver
07/07/2011, 09:03:44, Screen Saver
07/07/2011, 09:03:55, Screen Saver
07/07/2011, 09:04:06, Screen Saver
07/07/2011, 09:04:17, Screen Saver
07/07/2011, 09:04:28, Screen Saver
07/07/2011, 09:04:39, Screen Saver
07/07/2011, 09:04:50, Screen Saver
07/07/2011, 09:05:01, Screen Saver
07/07/2011, 09:05:12, Screen Saver
07/07/2011, 09:05:23, Screen Saver
07/07/2011, 09:05:34, Screen Saver
07/07/2011, 09:05:45, Screen Saver
07/07/2011, 09:05:56, Screen Saver
07/07/2011, 09:06:07, Screen Saver
07/07/2011, 09:06:18, Screen Saver
07/07/2011, 09:06:29, Screen Saver
07/07/2011, 09:06:40, Screen Saver
07/07/2011, 09:06:51, Screen Saver
07/07/2011, 09:07:02, Screen Saver
07/07/2011, 09:07:13, Screen Saver
07/07/2011, 09:07:24, Screen Saver
07/07/2011, 09:07:35, Screen Saver
07/07/2011, 09:07:46, Screen Saver
07/07/2011, 09:07:57, Screen Saver
07/07/2011, 09:08:08, Screen Saver
07/07/2011, 09:08:19, Screen Saver
07/07/2011, 09:08:30, Screen Saver
07/07/2011, 09:08:41, Screen Saver
07/07/2011, 09:08:52, Screen Saver
07/07/2011, 09:09:03, Screen Saver
07/07/2011, 09:09:14, Screen Saver
07/07/2011, 09:09:25, Screen Saver
07/07/2011, 09:09:36, Screen Saver
07/07/2011, 09:09:47, Screen Saver
07/07/2011, 09:09:58, Screen Saver
07/07/2011, 09:10:09, Screen Saver
07/07/2011, 09:10:20, Screen Saver
07/07/2011, 09:10:31, Screen Saver
07/07/2011, 09:10:42, Screen Saver
07/07/2011, 09:10:53, Screen Saver
07/07/2011, 09:11:04, Screen Saver
07/07/2011, 09:11:15, Screen Saver
07/07/2011, 09:11:26, Screen Saver
07/07/2011, 09:11:29, Note,1
07/07/2011, 09:11:30, Note,2
07/07/2011, 09:11:32, Note,4
07/07/2011, 09:11:32, Note,5
07/07/2011, 09:11:32, Note,5
07/07/2011, 09:11:32, Note,5
07/07/2011, 09:11:32, Note,6
07/07/2011, 09:11:33, Note,8
07/07/2011, 09:11:33, Note,6
07/07/2011, 09:11:33, Note,7
07/07/2011, 09:11:33, Note,6
07/07/2011, 09:11:33, Note,4
07/07/2011, 09:11:33, Note,5
07/07/2011, 09:11:34, Note,4
07/07/2011, 09:11:34, Note,2
07/07/2011, 09:11:35, Note,2
07/07/2011, 09:11:35, Note,3
07/07/2011, 09:11:35, Note,4
07/07/2011, 09:11:35, Note,4
07/07/2011, 09:11:35, Note,4
07/07/2011, 09:11:35, Note,6
07/07/2011, 09:11:36, Note,5
07/07/2011, 09:11:36, Note,5
07/07/2011, 09:11:36, Note,4
07/07/2011, 09:11:36, Note,6
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:37, Note,4
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:37, Note,4
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:37, Note,4
07/07/2011, 09:11:37, Note,5
07/07/2011, 09:11:38, Note,5
07/07/2011, 09:11:38, Note,5
07/07/2011, 09:11:39, Note,5
07/07/2011, 09:11:39, Note,5
07/07/2011, 09:11:39, Note,1
07/07/2011, 09:11:39, Note,2
07/07/2011, 09:11:39, Note,5
07/07/2011, 09:11:40, Note,5
07/07/2011, 09:11:40, Note,4
07/07/2011, 09:11:40, Note,5
07/07/2011, 09:11:40, Note,4
07/07/2011, 09:11:40, Note,5
07/07/2011, 09:11:40, Note,4
07/07/2011, 09:11:41, Note,2
07/07/2011, 09:11:41, Note,2
07/07/2011, 09:11:41, Note,5
07/07/2011, 09:11:42, Note,6
07/07/2011, 09:11:42, Note,7
07/07/2011, 09:11:42, Note,4
07/07/2011, 09:11:42, Note,4
07/07/2011, 09:11:43, Note,7
07/07/2011, 09:11:43, Note,5
07/07/2011, 09:11:43, Note,6
07/07/2011, 09:11:43, Note,6
07/07/2011, 09:11:43, Note,5
07/07/2011, 09:11:43, Note,4
07/07/2011, 09:11:43, Note,5
07/07/2011, 09:11:43, Note,7
07/07/2011, 09:11:44, Note,5
07/07/2011, 09:11:44, Note,5
07/07/2011, 09:11:44, Note,8
07/07/2011, 09:11:44, Note,8
07/07/2011, 09:11:44, Note,8
07/07/2011, 09:11:44, Note,5
07/07/2011, 09:11:44, Note,5
07/07/2011, 09:11:45, Note,7
07/07/2011, 09:11:45, Note,4
07/07/2011, 09:11:45, Note,5
07/07/2011, 09:11:45, Note,8
07/07/2011, 09:11:45, Note,2
07/07/2011, 09:11:46, Note,1
07/07/2011, 09:11:46, Note,8
07/07/2011, 09:11:46, Note,2
07/07/2011, 09:11:46, Note,1
07/07/2011, 09:11:46, Note,4
07/07/2011, 09:11:46, Note,2
07/07/2011, 09:11:46, Note,4
07/07/2011, 09:11:47, Note,3
07/07/2011, 09:11:47, Note,5
07/07/2011, 09:11:47, Note,6
07/07/2011, 09:11:47, Note,6
07/07/2011, 09:11:47, Note,4
07/07/2011, 09:11:47, Note,8
07/07/2011, 09:11:47, Note,4
07/07/2011, 09:11:47, Note,5
07/07/2011, 09:11:48, Note,3
07/07/2011, 09:11:48, Note,2
07/07/2011, 09:11:48, Note,4
07/07/2011, 09:11:48, Note,8
07/07/2011, 09:11:48, Note,1
07/07/2011, 09:11:48, Note,2
07/07/2011, 09:11:48, Note,4
07/07/2011, 09:11:48, Note,4
07/07/2011, 09:11:49, Note,5
07/07/2011, 09:11:49, Note,5
07/07/2011, 09:11:49, Note,6
07/07/2011, 09:11:49, Note,5
07/07/2011, 09:11:49, Note,8
07/07/2011, 09:11:49, Note,6
07/07/2011, 09:11:49, Note,4
07/07/2011, 09:11:50, Note,3
07/07/2011, 09:11:50, Note,4
07/07/2011, 09:11:50, Note,1
07/07/2011, 09:11:50, Note,8
07/07/2011, 09:11:50, Note,3
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,1
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,1
07/07/2011, 09:11:51, Note,1
07/07/2011, 09:11:51, Note,8
07/07/2011, 09:11:51, Note,3
07/07/2011, 09:11:51, Note,1
07/07/2011, 09:11:52, Note,1
07/07/2011, 09:11:52, Note,3
07/07/2011, 09:11:52, Note,3
07/07/2011, 09:11:52, Note,1
07/07/2011, 09:11:52, Note,3
07/07/2011, 09:11:52, Note,3
07/07/2011, 09:11:52, Note,3
07/07/2011, 09:11:52, Note,1
