Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/14/2011, 15:46:52, Note,4
07/14/2011, 15:46:53, Note,2
07/14/2011, 15:46:53, Note,2
07/14/2011, 15:46:53, Note,3
07/14/2011, 15:46:53, Note,2
07/14/2011, 15:46:54, Switching to instrument 4
07/14/2011, 15:46:54, Note,3
07/14/2011, 15:46:54, Switching to noises
07/14/2011, 15:46:54, Note,2
07/14/2011, 15:46:56, Switching to instrument 0
07/14/2011, 15:46:56, Note,1
07/14/2011, 15:46:58, Note,1
07/14/2011, 15:46:58, Note,4
07/14/2011, 15:46:59, Note,5
07/14/2011, 15:47:00, Note,6
07/14/2011, 15:47:01, Note,8
07/14/2011, 15:47:02, Note,6
07/14/2011, 15:47:02, Note,5
07/14/2011, 15:47:02, Note,5
07/14/2011, 15:47:02, Note,5
07/14/2011, 15:47:03, Note,6
07/14/2011, 15:47:03, Note,4
07/14/2011, 15:47:03, Note,7
07/14/2011, 15:47:03, Note,8
07/14/2011, 15:47:14, Screen Saver
07/14/2011, 15:47:25, Screen Saver
07/14/2011, 15:47:36, Screen Saver
07/14/2011, 15:47:47, Screen Saver
07/14/2011, 15:47:58, Screen Saver
07/14/2011, 15:48:09, Screen Saver
07/14/2011, 15:48:20, Screen Saver
07/14/2011, 15:48:31, Screen Saver
07/14/2011, 15:48:42, Screen Saver
07/14/2011, 15:48:53, Screen Saver
07/14/2011, 15:49:04, Screen Saver
07/14/2011, 15:49:15, Screen Saver
07/14/2011, 15:49:26, Screen Saver
07/14/2011, 15:49:37, Screen Saver
07/14/2011, 15:49:48, Screen Saver
07/14/2011, 15:49:59, Screen Saver
07/14/2011, 15:50:10, Screen Saver
07/14/2011, 15:50:21, Screen Saver
07/14/2011, 15:50:32, Screen Saver
07/14/2011, 15:50:43, Screen Saver
07/14/2011, 15:50:54, Screen Saver
07/14/2011, 15:51:05, Screen Saver
07/14/2011, 15:51:16, Screen Saver
07/14/2011, 15:51:27, Screen Saver
07/14/2011, 15:51:38, Screen Saver
07/14/2011, 15:51:49, Screen Saver
07/14/2011, 15:52:00, Screen Saver
07/14/2011, 15:52:11, Screen Saver
07/14/2011, 15:52:22, Screen Saver
07/14/2011, 15:52:33, Screen Saver
07/14/2011, 15:52:44, Screen Saver
07/14/2011, 15:52:55, Screen Saver
07/14/2011, 15:53:06, Screen Saver
07/14/2011, 15:53:17, Screen Saver
07/14/2011, 15:53:28, Screen Saver
07/14/2011, 15:53:39, Screen Saver
07/14/2011, 15:53:50, Screen Saver
07/14/2011, 15:54:01, Screen Saver
07/14/2011, 15:54:12, Screen Saver
07/14/2011, 15:54:23, Screen Saver
07/14/2011, 15:54:34, Screen Saver
07/14/2011, 15:54:45, Screen Saver
07/14/2011, 15:54:56, Screen Saver
07/14/2011, 15:55:07, Screen Saver
07/14/2011, 15:55:18, Screen Saver
07/14/2011, 15:55:29, Screen Saver
07/14/2011, 15:55:40, Screen Saver
07/14/2011, 15:55:51, Screen Saver
07/14/2011, 15:56:02, Screen Saver
07/14/2011, 15:56:13, Screen Saver
07/14/2011, 15:56:24, Screen Saver
07/14/2011, 15:56:35, Screen Saver
07/14/2011, 15:56:41, Note,8
07/14/2011, 15:56:41, Note,6
07/14/2011, 15:56:41, Note,6
07/14/2011, 15:56:41, Note,7
07/14/2011, 15:56:42, Note,5
07/14/2011, 15:56:42, Note,5
07/14/2011, 15:56:42, Note,4
07/14/2011, 15:56:42, Note,5
07/14/2011, 15:56:42, Note,5
07/14/2011, 15:56:42, Note,3
07/14/2011, 15:56:43, Note,4
07/14/2011, 15:56:43, Note,2
07/14/2011, 15:56:43, Note,2
07/14/2011, 15:56:44, Note,1
07/14/2011, 15:56:44, Note,2
07/14/2011, 15:56:45, Note,4
07/14/2011, 15:56:45, Note,3
07/14/2011, 15:56:45, Note,5
07/14/2011, 15:56:45, Note,4
07/14/2011, 15:56:45, Note,6
07/14/2011, 15:56:46, Note,6
07/14/2011, 15:56:46, Note,8
07/14/2011, 15:56:46, Note,8
07/14/2011, 15:56:46, Note,6
07/14/2011, 15:56:46, Note,5
07/14/2011, 15:56:47, Note,5
07/14/2011, 15:56:47, Note,7
07/14/2011, 15:56:47, Note,6
07/14/2011, 15:56:47, Note,5
07/14/2011, 15:56:47, Note,5
07/14/2011, 15:56:47, Note,3
07/14/2011, 15:56:48, Note,4
07/14/2011, 15:56:48, Note,2
07/14/2011, 15:56:48, Note,4
07/14/2011, 15:56:48, Note,1
07/14/2011, 15:56:50, Note,4
07/14/2011, 15:56:50, Note,2
07/14/2011, 15:56:50, Note,5
07/14/2011, 15:56:51, Note,4
07/14/2011, 15:56:51, Note,7
07/14/2011, 15:56:51, Note,7
07/14/2011, 15:56:51, Note,8
07/14/2011, 15:56:51, Note,6
07/14/2011, 15:56:52, Note,7
07/14/2011, 15:56:52, Note,7
07/14/2011, 15:56:52, Note,6
07/14/2011, 15:56:53, Note,4
07/14/2011, 15:56:53, Note,5
07/14/2011, 15:56:53, Note,4
07/14/2011, 15:56:53, Note,2
07/14/2011, 15:56:54, Note,1
07/14/2011, 15:56:54, Note,1
07/14/2011, 15:56:54, Note,1
07/14/2011, 15:56:54, Note,2
07/14/2011, 15:56:54, Note,3
07/14/2011, 15:56:54, Note,2
07/14/2011, 15:56:55, Note,4
07/14/2011, 15:56:55, Note,5
07/14/2011, 15:56:55, Note,4
07/14/2011, 15:56:55, Note,6
07/14/2011, 15:56:55, Note,5
07/14/2011, 15:56:55, Note,5
07/14/2011, 15:56:56, Note,5
07/14/2011, 15:56:56, Note,7
07/14/2011, 15:56:56, Note,6
