Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
07/20/2011, 08:57:37, Screen Saver
07/20/2011, 08:57:48, Screen Saver
07/20/2011, 08:57:59, Screen Saver
07/20/2011, 08:58:10, Screen Saver
07/20/2011, 08:58:21, Screen Saver
07/20/2011, 08:58:32, Screen Saver
07/20/2011, 08:58:43, Screen Saver
07/20/2011, 08:58:54, Screen Saver
07/20/2011, 08:59:05, Screen Saver
07/20/2011, 08:59:16, Screen Saver
07/20/2011, 08:59:27, Screen Saver
07/20/2011, 08:59:38, Screen Saver
07/20/2011, 08:59:49, Screen Saver
07/20/2011, 09:00:00, Screen Saver
07/20/2011, 09:00:11, Screen Saver
07/20/2011, 09:00:22, Screen Saver
07/20/2011, 09:00:33, Screen Saver
07/20/2011, 09:00:44, Screen Saver
07/20/2011, 09:00:55, Screen Saver
07/20/2011, 09:01:06, Screen Saver
07/20/2011, 09:01:17, Screen Saver
07/20/2011, 09:01:28, Screen Saver
07/20/2011, 09:01:39, Screen Saver
07/20/2011, 09:01:50, Screen Saver
07/20/2011, 09:02:01, Screen Saver
07/20/2011, 09:02:12, Screen Saver
07/20/2011, 09:02:23, Screen Saver
07/20/2011, 09:02:34, Screen Saver
07/20/2011, 09:02:45, Screen Saver
07/20/2011, 09:02:56, Screen Saver
07/20/2011, 09:03:07, Screen Saver
07/20/2011, 09:03:18, Screen Saver
07/20/2011, 09:03:29, Screen Saver
07/20/2011, 09:03:40, Screen Saver
07/20/2011, 09:03:51, Screen Saver
07/20/2011, 09:04:02, Screen Saver
07/20/2011, 09:04:13, Screen Saver
07/20/2011, 09:04:24, Screen Saver
07/20/2011, 09:04:35, Screen Saver
07/20/2011, 09:04:46, Screen Saver
07/20/2011, 09:04:57, Screen Saver
07/20/2011, 09:05:08, Screen Saver
07/20/2011, 09:05:19, Screen Saver
07/20/2011, 09:05:30, Screen Saver
07/20/2011, 09:05:41, Screen Saver
07/20/2011, 09:05:52, Screen Saver
07/20/2011, 09:06:03, Screen Saver
07/20/2011, 09:06:14, Screen Saver
07/20/2011, 09:06:25, Screen Saver
07/20/2011, 09:06:36, Screen Saver
07/20/2011, 09:06:47, Screen Saver
07/20/2011, 09:06:58, Screen Saver
07/20/2011, 09:07:09, Screen Saver
07/20/2011, 09:07:20, Screen Saver
07/20/2011, 09:07:31, Screen Saver
07/20/2011, 09:07:42, Screen Saver
07/20/2011, 09:07:53, Screen Saver
07/20/2011, 09:08:04, Screen Saver
07/20/2011, 09:08:15, Screen Saver
07/20/2011, 09:08:26, Screen Saver
