onfigured
00/00/0000, 00:00:00, Master Init Complete
06/19/2012, 16:01:29, Note,6
06/19/2012, 16:01:29, Note,6
06/19/2012, 16:01:30, Note,6
06/19/2012, 16:01:30, Note,5
06/19/2012, 16:01:40, Screen Saver
06/19/2012, 16:01:51, Screen Saver
06/19/2012, 16:02:02, Screen Saver
06/19/2012, 16:02:13, Screen Saver
06/19/2012, 16:02:24, Screen Saver
06/19/2012, 16:02:35, Screen Saver
06/19/2012, 16:02:35, Note,4
06/19/2012, 16:02:47, Screen Saver
06/19/2012, 16:02:58, Screen Saver
06/19/2012, 16:03:10, Screen Saver
06/19/2012, 16:03:21, Screen Saver
06/19/2012, 16:03:32, Screen Saver
06/19/2012, 16:03:43, Screen Saver
06/19/2012, 16:03:54, Screen Saver
06/19/2012, 16:04:05, Screen Saver
06/19/2012, 16:04:16, Screen Saver
06/19/2012, 16:04:27, Screen Saver
06/19/2012, 16:04:38, Screen Saver
06/19/2012, 16:04:49, Screen Saver
06/19/2012, 16:05:00, Screen Saver
06/19/2012, 16:05:11, Screen Saver
06/19/2012, 16:05:16, Switching to instrument 4
06/19/2012, 16:05:16, Note,1
06/19/2012, 16:05:18, Note,2
06/19/2012, 16:05:19, Note,3
06/19/2012, 16:05:19, Note,4
06/19/2012, 16:05:20, Note,5
06/19/2012, 16:05:21, Note,5
06/19/2012, 16:05:21, Note,6
06/19/2012, 16:05:22, Note,7
06/19/2012, 16:05:22, Note,7
06/19/2012, 16:05:22, Note,4
06/19/2012, 16:05:22, Note,7
06/19/2012, 16:05:23, Note,6
06/19/2012, 16:05:24, Note,3
06/19/2012, 16:05:24, Note,5
06/19/2012, 16:05:24, Note,4
06/19/2012, 16:05:24, Note,2
06/19/2012, 16:05:24, Note,1
06/19/2012, 16:05:25, Switching to noises
06/19/2012, 16:05:26, Note,2
06/19/2012, 16:05:27, Note,3
06/19/2012, 16:05:28, Note,5
06/19/2012, 16:05:29, Note,5
06/19/2012, 16:05:30, Note,4
06/19/2012, 16:05:31, Note,5
06/19/2012, 16:05:31, Note,6
06/19/2012, 16:05:32, Note,7
06/19/2012, 16:05:41, Note,5
06/19/2012, 16:05:41, Note,5
06/19/2012, 16:05:51, Screen Saver
06/19/2012, 16:06:02, Screen Saver
06/19/2012, 16:06:02, Note,7
06/19/2012, 16:06:02, Note,6
06/19/2012, 16:06:03, Note,5
06/19/2012, 16:06:03, Note,4
06/19/2012, 16:06:03, Note,2
06/19/2012, 16:06:04, Note,1
06/19/2012, 16:06:04, Note,4
06/19/2012, 16:06:15, Screen Saver
06/19/2012, 16:06:26, Screen Saver
06/19/2012, 16:06:26, Note,4
06/19/2012, 16:06:37, Screen Saver
06/19/2012, 16:06:48, Screen Saver
06/19/2012, 16:06:59, Screen Saver
06/19/2012, 16:07:10, Screen Saver
06/19/2012, 16:07:21, Screen Saver
06/19/2012, 16:07:32, Screen Saver
06/19/2012, 16:07:43, Screen Saver
06/19/2012, 16:07:47, Note,5
06/19/2012, 16:07:51, Note,5
06/19/2012, 16:08:01, Screen Saver
06/19/2012, 16:08:12, Screen Saver
06/19/2012, 16:08:23, Screen Saver
06/19/2012, 16:08:25, Note,4
06/19/2012, 16:08:35, Screen Saver
06/19/2012, 16:08:46, Screen Saver
06/19/2012, 16:08:57, Note,5
06/19/2012, 16:08:58, Note,5
06/19/2012, 16:09:03, Note,5
06/19/2012, 16:09:09, Note,5
06/19/2012, 16:09:19, Screen Saver
06/19/2012, 16:09:30, Screen Saver
06/19/2012, 16:09:38, Note,5
06/19/2012, 16:09:39, Note,5
06/19/2012, 16:09:39, Note,5
06/19/2012, 16:09:50, Screen Saver
06/19/2012, 16:10:01, Screen Saver
06/19/2012, 16:10:04, Note,5
06/19/2012, 16:10:15, Screen Saver
06/19/2012, 16:10:19, Note,5
06/19/2012, 16:10:24, Note,5
06/19/2012, 16:10:26, Note,5
06/19/2012, 16:10:32, Note,5
06/19/2012, 16:10:42, Screen Saver
06/19/2012, 16:10:46, Note,5
06/19/2012, 16:10:47, Note,5
06/19/2012, 16:10:47, Note,5
06/19/2012, 16:10:53, Note,5
06/19/2012, 16:10:57, Note,4
06/19/2012, 16:10:58, Note,4
06/19/2012, 16:11:04, Note,5
06/19/2012, 16:11:05, Note,5
06/19/2012, 16:11:15, Note,5
06/19/2012, 16:11:15, Note,5
06/19/2012, 16:11:16, Note,5
06/19/2012, 16:11:26, Screen Saver
06/19/2012, 16:11:26, Note,4
06/19/2012, 16:11:29, Note,5
06/19/2012, 16:11:29, Note,5
06/19/2012, 16:11:36, Note,5
06/19/2012, 16:11:37, Note,5
06/19/2012, 16:11:39, Note,5
06/19/2012, 16:11:42, Note,5
06/19/2012, 16:11:47, Note,5
06/19/2012, 16:11:47, Note,5
06/19/2012, 16:11:49, Note,5
06/19/2012, 16:11:52, Note,5
06/19/2012, 16:11:53, Note,5
06/19/2012, 16:11:56, Note,5
06/19/2012, 16:11:56, Note,5
06/19/2012, 16:11:57, Note,5
06/19/2012, 16:11:59, Note,5
06/19/2012, 16:12:01, Note,5
06/19/2012, 16:12:02, Note,5
