S Configured
00/00/0000, 00:00:00, Master Init Complete
05/31/2012, 16:41:12, Switching to instrument 1
05/31/2012, 16:41:13, Switching to instrument 2
05/31/2012, 16:44:13, Note,3
05/31/2012, 16:44:13, Note,3
05/31/2012, 16:44:13, Note,1
05/31/2012, 16:44:13, Note,2
05/31/2012, 16:44:13, Note,1
05/31/2012, 16:44:14, Note,3
05/31/2012, 16:44:14, Note,1
05/31/2012, 16:44:14, Note,3
05/31/2012, 16:44:14, Note,3
05/31/2012, 16:44:15, Note,3
05/31/2012, 16:44:15, Note,1
05/31/2012, 16:44:15, Note,2
05/31/2012, 16:44:15, Note,4
05/31/2012, 16:44:15, Note,2
05/31/2012, 16:44:26, Screen Saver
05/31/2012, 16:44:37, Screen Saver
05/31/2012, 16:44:48, Screen Saver
05/31/2012, 16:44:59, Screen Saver
05/31/2012, 16:45:10, Screen Saver
05/31/2012, 16:45:21, Screen Saver
05/31/2012, 16:45:32, Screen Saver
05/31/2012, 16:45:43, Screen Saver
05/31/2012, 16:45:49, Note,2
05/31/2012, 16:45:50, Note,2
05/31/2012, 16:46:01, Screen Saver
05/31/2012, 16:46:12, Screen Saver
05/31/2012, 16:46:23, Screen Saver
05/31/2012, 16:46:35, Screen Saver
05/31/2012, 16:46:46, Screen Saver
05/31/2012, 16:46:46, Note,2
05/31/2012, 16:46:53, Note,2
05/31/2012, 16:47:01, Note,2
05/31/2012, 16:47:12, Screen Saver
05/31/2012, 16:47:23, Screen Saver
05/31/2012, 16:47:34, Screen Saver
05/31/2012, 16:47:41, Note,2
05/31/2012, 16:47:44, Note,4
05/31/2012, 16:47:45, Note,2
05/31/2012, 16:47:53, Note,7
05/31/2012, 16:47:53, Note,7
05/31/2012, 16:47:53, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:54, Note,7
05/31/2012, 16:47:55, Note,7
05/31/2012, 16:47:55, Note,2
05/31/2012, 16:47:57, Note,7
05/31/2012, 16:47:57, Note,7
05/31/2012, 16:47:58, Note,7
05/31/2012, 16:47:58, Note,7
05/31/2012, 16:47:59, Note,7
05/31/2012, 16:47:59, Note,7
05/31/2012, 16:47:59, Note,7
05/31/2012, 16:47:59, Note,7
05/31/2012, 16:48:00, Note,2
05/31/2012, 16:48:00, Note,1
05/31/2012, 16:48:00, Note,5
05/31/2012, 16:48:00, Note,2
05/31/2012, 16:48:00, Note,6
05/31/2012, 16:48:01, Note,6
05/31/2012, 16:48:01, Note,6
05/31/2012, 16:48:01, Note,5
05/31/2012, 16:48:01, Note,3
05/31/2012, 16:48:02, Note,3
05/31/2012, 16:48:02, Note,4
05/31/2012, 16:48:02, Note,3
05/31/2012, 16:48:02, Note,1
05/31/2012, 16:48:02, Note,4
05/31/2012, 16:48:03, Note,1
05/31/2012, 16:48:03, Note,1
05/31/2012, 16:48:04, Switching to instrument 1
05/31/2012, 16:48:05, Note,1
05/31/2012, 16:48:05, Note,1
05/31/2012, 16:48:06, Note,1
05/31/2012, 16:48:06, Note,3
05/31/2012, 16:48:06, Note,1
05/31/2012, 16:48:06, Note,3
05/31/2012, 16:48:06, Note,2
05/31/2012, 16:48:06, Note,3
05/31/2012, 16:48:06, Note,2
05/31/2012, 16:48:07, Note,2
05/31/2012, 16:48:07, Note,4
05/31/2012, 16:48:07, Note,4
05/31/2012, 16:48:07, Note,3
05/31/2012, 16:48:07, Note,5
05/31/2012, 16:48:07, Note,6
05/31/2012, 16:48:08, Note,6
05/31/2012, 16:48:08, Note,5
05/31/2012, 16:48:08, Note,7
05/31/2012, 16:48:08, Note,6
05/31/2012, 16:48:09, Note,5
05/31/2012, 16:48:09, Note,4
05/31/2012, 16:48:10, Note,3
05/31/2012, 16:48:10, Note,2
05/31/2012, 16:48:10, Note,2
05/31/2012, 16:48:10, Note,2
05/31/2012, 16:48:10, Note,4
05/31/2012, 16:48:10, Note,3
05/31/2012, 16:48:11, Note,5
05/31/2012, 16:48:11, Note,5
05/31/2012, 16:48:14, Switching to instrument 2
05/31/2012, 16:48:17, Switching to instrument 3
05/31/2012, 16:48:17, Note,7
05/31/2012, 16:48:20, Note,1
05/31/2012, 16:48:20, Note,2
05/31/2012, 16:48:20, Note,1
05/31/2012, 16:48:21, Note,7
05/31/2012, 16:48:21, Note,7
05/31/2012, 16:48:21, Note,1
05/31/2012, 16:48:22, Note,6
05/31/2012, 16:48:22, Note,6
05/31/2012, 16:48:22, Note,5
05/31/2012, 16:48:22, Note,3
05/31/2012, 16:48:23, Note,6
05/31/2012, 16:48:23, Note,7
05/31/2012, 16:48:23, Note,6
05/31/2012, 16:48:24, Note,7
05/31/2012, 16:48:24, Note,7
05/31/2012, 16:48:24, Note,7
05/31/2012, 16:48:24, Note,7
05/31/2012, 16:48:25, Note,6
05/31/2012, 16:48:25, Note,4
05/31/2012, 16:48:26, Switching to instrument 4
05/31/2012, 16:48:27, Note,2
05/31/2012, 16:48:28, Note,3
05/31/2012, 16:48:28, Note,4
05/31/2012, 16:48:28, Note,5
05/31/2012, 16:48:28, Note,6
05/31/2012, 16:48:29, Note,7
05/31/2012, 16:48:29, Note,5
05/31/2012, 16:48:29, Note,4
05/31/2012, 16:48:29, Note,3
05/31/2012, 16:48:29, Note,6
05/31/2012, 16:48:29, Note,4
05/31/2012, 16:48:29, Note,2
05/31/2012, 16:48:29, Note,3
05/31/2012, 16:48:29, Note,4
05/31/2012, 16:48:29, Note,1
05/31/2012, 16:48:30, Note,2
05/31/2012, 16:48:30, Switching to noises
05/31/2012, 16:48:30, Note,3
05/31/2012, 16:48:31, Note,4
05/31/2012, 16:48:32, Note,5
05/31/2012, 16:48:32, Note,6
05/31/2012, 16:48:33, Note,7
05/31/2012, 16:48:34, Note,7
05/31/2012, 16:48:34, Note,6
05/31/2012, 16:48:35, Note,4
05/31/2012, 16:48:35, Note,3
05/31/2012, 16:48:35, Note,2
05/31/2012, 16:48:35, Note,2
05/31/2012, 16:48:36, Note,1
05/31/2012, 16:48:36, Note,1
05/31/2012, 16:48:36, Switching to instrument 0
05/31/2012, 16:48:36, Note,1
05/31/2012, 16:48:37, Note,4
05/31/2012, 16:48:37, Note,3
05/31/2012, 16:48:37, Note,3
05/31/2012, 16:48:37, Note,2
05/31/2012, 16:48:37, Note,3
05/31/2012, 16:48:38, Note,4
05/31/2012, 16:48:38, Note,6
05/31/2012, 16:48:38, Note,4
05/31/2012, 16:48:39, Note,3
05/31/2012, 16:48:39, Note,2
05/31/2012, 16:48:39, Note,2
05/31/2012, 16:48:39, Note,1
05/31/2012, 16:48:39, Note,2
05/31/2012, 16:48:39, Note,3
05/31/2012, 16:48:39, Note,4
05/31/2012, 16:48:39, Note,2
05/31/2012, 16:48:39, Note,5
05/31/2012, 16:48:39, Note,3
05/31/2012, 16:48:40, Note,7
05/31/2012, 16:48:40, Note,5
05/31/2012, 16:48:40, Note,6
05/31/2012, 16:48:40, Note,7
05/31/2012, 16:48:40, Note,7
05/31/2012, 16:48:41, Note,6
05/31/2012, 16:48:41, Note,7
05/31/2012, 16:48:41, Note,5
05/31/2012, 16:48:41, Note,4
05/31/2012, 16:48:51, Screen Saver
05/31/2012, 16:48:53, Note,2
05/31/2012, 16:49:03, Screen Saver
05/31/2012, 16:49:09, Note,2
05/31/2012, 16:49:17, Note,2
05/31/2012, 16:49:28, Screen Saver
05/31/2012, 16:49:39, Screen Saver
05/31/2012, 16:49:50, Screen Saver
05/31/2012, 16:50:01, Screen Saver
05/31/2012, 16:50:12, Screen Saver
05/31/2012, 16:50:23, Screen Saver
05/31/2012, 16:50:34, Screen Saver
05/31/2012, 16:50:37, Note,2
05/31/2012, 16:50:47, Screen Saver
05/31/2012, 16:50:47, Note,4
05/31/2012, 16:50:48, Note,3
05/31/2012, 16:50:48, Note,3
05/31/2012, 16:50:49, Note,3
05/31/2012, 16:50:50, Note,4
05/31/2012, 16:50:50, Note,4
05/31/2012, 16:50:51, Note,4
05/31/2012, 16:50:51, Note,3
05/31/2012, 16:50:51, Note,4
05/31/2012, 16:50:51, Note,3
05/31/2012, 16:50:52, Note,4
05/31/2012, 16:50:52, Note,4
05/31/2012, 16:50:52, Note,3
05/31/2012, 16:50:52, Note,4
05/31/2012, 16:50:52, Note,3
05/31/2012, 16:50:53, Note,4
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,4
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,4
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,3
05/31/2012, 16:50:53, Note,4
05/31/2012, 16:50:54, Note,3
05/31/2012, 16:50:54, Note,3
05/31/2012, 16:50:54, Note,3
05/31/2012, 16:50:54, Note,4
05/31/2012, 16:50:54, Note,3
05/31/2012, 16:50:54, Note,4
05/31/2012, 16:50:54, Note,3
05/31/2012, 16:50:55, Note,3
05/31/2012, 16:50:55, Note,3
05/31/2012, 16:50:55, Note,3
05/31/2012, 16:50:55, Note,4
05/31/2012, 16:50:56, Switching to instrument 1
05/31/2012, 16:50:57, Note,1
05/31/2012, 16:50:58, Note,2
05/31/2012, 16:50:59, Note,4
05/31/2012, 16:50:59, Note,3
05/31/2012, 16:51:00, Note,4
05/31/2012, 16:51:00, Note,6
05/31/2012, 16:51:00, Note,4
05/31/2012, 16:51:00, Note,7
05/31/2012, 16:51:00, Note,5
05/31/2012, 16:51:00, Note,6
05/31/2012, 16:51:00, Note,7
05/31/2012, 16:51:01, Note,7
05/31/2012, 16:51:01, Note,5
05/31/2012, 16:51:01, Note,6
05/31/2012, 16:51:01, Note,4
05/31/2012, 16:51:01, Note,5
05/31/2012, 16:51:01, Note,2
05/31/2012, 16:51:01, Note,4
05/31/2012, 16:51:01, Note,1
05/31/2012, 16:51:01, Note,3
05/31/2012, 16:51:01, Note,2
05/31/2012, 16:51:02, Note,2
05/31/2012, 16:51:02, Note,1
05/31/2012, 16:51:02, Note,3
05/31/2012, 16:51:02, Note,4
05/31/2012, 16:51:02, Note,6
05/31/2012, 16:51:02, Note,4
05/31/2012, 16:51:03, Note,5
05/31/2012, 16:51:03, Note,5
05/31/2012, 16:51:04, Note,5
05/31/2012, 16:51:04, Note,5
05/31/2012, 16:51:04, Note,5
05/31/2012, 16:51:04, Note,4
05/31/2012, 16:51:05, Note,5
05/31/2012, 16:51:06, Note,4
05/31/2012, 16:51:06, Note,6
05/31/2012, 16:51:07, Note,5
05/31/2012, 16:51:07, Note,7
05/31/2012, 16:51:07, Note,6
05/31/2012, 16:51:07, Note,7
05/31/2012, 16:51:07, Note,7
05/31/2012, 16:51:07, Note,7
05/31/2012, 16:51:07, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:08, Note,7
05/31/2012, 16:51:09, Note,7
05/31/2012, 16:51:09, Note,7
05/31/2012, 16:51:09, Note,7
05/31/2012, 16:51:09, Note,7
05/31/2012, 16:51:10, Note,7
05/31/2012, 16:51:11, Note,7
05/31/2012, 16:51:11, Note,7
05/31/2012, 16:51:12, Note,7
05/31/2012, 16:51:13, Note,6
05/31/2012, 16:51:13, Note,5
05/31/2012, 16:51:13, Note,3
05/31/2012, 16:51:13, Note,2
05/31/2012, 16:51:13, Note,2
05/31/2012, 16:51:14, Note,1
05/31/2012, 16:51:14, Note,2
05/31/2012, 16:51:14, Note,4
05/31/2012, 16:51:15, Note,6
05/31/2012, 16:51:15, Note,7
05/31/2012, 16:51:15, Note,7
05/31/2012, 16:51:16, Note,1
05/31/2012, 16:51:17, Note,4
05/31/2012, 16:51:17, Note,4
05/31/2012, 16:51:17, Switching to instrument 2
05/31/2012, 16:51:17, Note,2
05/31/2012, 16:51:18, Note,7
05/31/2012, 16:51:18, Note,6
05/31/2012, 16:51:19, Note,7
05/31/2012, 16:51:19, Note,6
05/31/2012, 16:51:20, Note,5
05/31/2012, 16:51:20, Note,3
05/31/2012, 16:51:20, Note,2
05/31/2012, 16:51:21, Note,2
05/31/2012, 16:51:21, Note,1
05/31/2012, 16:51:21, Note,1
05/31/2012, 16:51:22, Note,1
05/31/2012, 16:51:22, Note,1
05/31/2012, 16:51:23, Note,1
05/31/2012, 16:51:25, Note,4
05/31/2012, 16:51:25, Note,2
05/31/2012, 16:51:26, Note,2
05/31/2012, 16:51:26, Note,2
05/31/2012, 16:51:26, Note,1
05/31/2012, 16:51:27, Note,3
05/31/2012, 16:51:27, Note,2
05/31/2012, 16:51:27, Note,1
05/31/2012, 16:51:37, Screen Saver
05/31/2012, 16:51:48, Screen Saver
05/31/2012, 16:51:59, Screen Saver
05/31/2012, 16:52:10, Screen Saver
05/31/2012, 16:52:17, Note,4
05/31/2012, 16:52:17, Note,2
05/31/2012, 16:52:17, Note,2
