Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
[GPS disabled], 2801, Switching to instrument 2
[GPS disabled], 2801, Note,1
[GPS disabled], 2801, Switching to instrument 3
[GPS disabled], 2801, Note,3
[GPS disabled], 2801, Note,2
[GPS disabled], 2802, Switching to instrument 4
[GPS disabled], 2802, Switching to noises
[GPS disabled], 2802, Note,1
[GPS disabled], 2802, Note,4
[GPS disabled], 2802, Note,5
[GPS disabled], 2802, Switching to instrument 0
[GPS disabled], 2802, Note,2
[GPS disabled], 2802, Note,3
[GPS disabled], 2802, Note,6
[GPS disabled], 2802, Note,5
[GPS disabled], 2803, Switching to instrument 1
[GPS disabled], 2803, Note,4
[GPS disabled], 2803, Note,7
[GPS disabled], 2803, Note,6
[GPS disabled], 2803, Switching to instrument 2
[GPS disabled], 2803, Note,8
[GPS disabled], 2803, Note,5
[GPS disabled], 2803, Note,6
[GPS disabled], 2803, Switching to instrument 3
[GPS disabled], 2803, Note,7
[GPS disabled], 2804, Switching to instrument 4
[GPS disabled], 2804, Note,7
[GPS disabled], 2804, Note,8
[GPS disabled], 2804, Switching to noises
[GPS disabled], 2804, Note,6
[GPS disabled], 2804, Note,5
[GPS disabled], 2804, Switching to instrument 0
[GPS disabled], 2804, Note,7
[GPS disabled], 2804, Note,4
[GPS disabled], 2804, Note,6
[GPS disabled], 2804, Note,3
[GPS disabled], 2805, Switching to instrument 1
[GPS disabled], 2805, Note,5
[GPS disabled], 2805, Note,4
[GPS disabled], 2805, Note,3
[GPS disabled], 2805, Note,2
[GPS disabled], 2806, Switching to instrument 2
[GPS disabled], 2806, Note,1
[GPS disabled], 2806, Note,2
[GPS disabled], 2806, Switching to instrument 3
[GPS disabled], 2806, Note,4
[GPS disabled], 2806, Note,1
[GPS disabled], 2806, Note,5
[GPS disabled], 2806, Switching to instrument 4
[GPS disabled], 2806, Note,2
[GPS disabled], 2806, Note,6
[GPS disabled], 2806, Note,3
[GPS disabled], 2807, Note,4
[GPS disabled], 2807, Note,6
[GPS disabled], 2807, Note,5
[GPS disabled], 2807, Note,7
[GPS disabled], 2807, Note,8
[GPS disabled], 2807, Note,8
[GPS disabled], 2808, Note,8
[GPS disabled], 2808, Note,7
[GPS disabled], 2808, Note,6
[GPS disabled], 2808, Note,6
[GPS disabled], 2808, Note,5
[GPS disabled], 2808, Note,8
[GPS disabled], 2809, Note,7
[GPS disabled], 2809, Note,4
[GPS disabled], 2809, Switching to noises
[GPS disabled], 2809, Note,6
[GPS disabled], 2809, Note,3
[GPS disabled], 2809, Note,5
[GPS disabled], 2809, Note,2
[GPS disabled], 2809, Switching to instrument 0
[GPS disabled], 2809, Note,4
[GPS disabled], 2809, Note,1
[GPS disabled], 2809, Note,3
[GPS disabled], 2809, Note,6
[GPS disabled], 2809, Note,2
[GPS disabled], 2810, Switching to instrument 1
[GPS disabled], 2810, Note,1
[GPS disabled], 2810, Note,2
[GPS disabled], 2810, Note,1
[GPS disabled], 2810, Note,3
[GPS disabled], 2810, Note,4
[GPS disabled], 2810, Note,2
[GPS disabled], 2810, Note,5
[GPS disabled], 2810, Note,3
[GPS disabled], 2811, Note,6
[GPS disabled], 2811, Note,4
[GPS disabled], 2811, Note,5
[GPS disabled], 2811, Note,7
[GPS disabled], 2811, Note,6
[GPS disabled], 2811, Note,8
[GPS disabled], 2811, Note,7
[GPS disabled], 2811, Note,8
[GPS disabled], 2812, Note,7
[GPS disabled], 2812, Note,6
[GPS disabled], 2812, Note,5
[GPS disabled], 2812, Note,8
[GPS disabled], 2812, Note,4
[GPS disabled], 2812, Note,7
[GPS disabled], 2812, Note,6
[GPS disabled], 2813, Note,5
[GPS disabled], 2813, Note,4
[GPS disabled], 2813, Note,3
[GPS disabled], 2813, Note,2
[GPS disabled], 2813, Note,1
[GPS disabled], 2814, Note,3
[GPS disabled], 2814, Note,2
[GPS disabled], 2815, Note,2
[GPS disabled], 2815, Note,1
[GPS disabled], 2815, Note,3
[GPS disabled], 2815, Note,2
[GPS disabled], 2815, Note,4
[GPS disabled], 2815, Note,3
[GPS disabled], 2815, Note,5
[GPS disabled], 2815, Note,4
[GPS disabled], 2815, Note,6
[GPS disabled], 2815, Note,5
[GPS disabled], 2816, Note,7
[GPS disabled], 2816, Note,5
[GPS disabled], 2816, Note,6
[GPS disabled], 2816, Note,8
[GPS disabled], 2816, Note,7
[GPS disabled], 2816, Note,8
[GPS disabled], 2817, Note,7
[GPS disabled], 2817, Note,6
[GPS disabled], 2817, Note,8
[GPS disabled], 2817, Note,5
[GPS disabled], 2817, Note,7
[GPS disabled], 2817, Note,4
[GPS disabled], 2818, Note,6
[GPS disabled], 2818, Note,3
[GPS disabled], 2818, Note,3
[GPS disabled], 2818, Note,5
[GPS disabled], 2818, Note,2
[GPS disabled], 2818, Note,4
[GPS disabled], 2818, Note,1
[GPS disabled], 2818, Note,3
[GPS disabled], 2818, Note,2
[GPS disabled], 2819, Note,1
[GPS disabled], 2820, Note,1
[GPS disabled], 2820, Note,2
[GPS disabled], 2820, Note,1
[GPS disabled], 2820, Note,3
[GPS disabled], 2821, Note,4
[GPS disabled], 2821, Note,2
[GPS disabled], 2821, Note,5
[GPS disabled], 2821, Note,3
[GPS disabled], 2821, Note,6
[GPS disabled], 2821, Note,4
[GPS disabled], 2821, Note,7
[GPS disabled], 2821, Note,5
[GPS disabled], 2821, Note,8
[GPS disabled], 2821, Note,6
[GPS disabled], 2822, Note,7
[GPS disabled], 2822, Note,8
[GPS disabled], 2822, Note,7
[GPS disabled], 2823, Note,6
[GPS disabled], 2823, Note,5
[GPS disabled], 2823, Note,8
[GPS disabled], 2823, Note,4
[GPS disabled], 2823, Note,7
[GPS disabled], 2823, Note,7
[GPS disabled], 2823, Note,6
[GPS disabled], 2823, Note,2
[GPS disabled], 2823, Note,5
[GPS disabled], 2823, Note,1
[GPS disabled], 2824, Note,4
[GPS disabled], 2874, Switching to instrument 2
[GPS disabled], 2874, Switching to instrument 3
[GPS disabled], 2875, Switching to instrument 4
[GPS disabled], 2876, Switching to noises
[GPS disabled], 2876, Switching to instrument 0
[GPS disabled], 2880, Switching to instrument 1
[GPS disabled], 2881, Switching to instrument 2
[GPS disabled], 2882, Switching to instrument 3
[GPS disabled], 2882, Switching to instrument 4
[GPS disabled], 2883, Switching to noises
[GPS disabled], 2883, Note,1
[GPS disabled], 2885, Switching to instrument 0
[GPS disabled], 2885, Note,1
[GPS disabled], 2886, Note,1
[GPS disabled], 2886, Switching to instrument 1
[GPS disabled], 2886, Note,2
[GPS disabled], 2887, Switching to instrument 2
[GPS disabled], 2887, Note,2
[GPS disabled], 2887, Switching to instrument 3
[GPS disabled], 2887, Note,3
[GPS disabled], 2887, Switching to instrument 4
[GPS disabled], 2887, Note,3
[GPS disabled], 2887, Note,2
[GPS disabled], 2888, Switching to noises
[GPS disabled], 2888, Note,4
[GPS disabled], 2888, Note,3
[GPS disabled], 2888, Note,1
[GPS disabled], 2888, Note,2
[GPS disabled], 2889, Note,1
[GPS disabled], 2889, Note,2
[GPS disabled], 2889, Note,3
[GPS disabled], 2890, Note,1
[GPS disabled], 2890, Note,4
[GPS disabled], 2890, Note,2
[GPS disabled], 2890, Note,5
[GPS disabled], 2890, Note,5
[GPS disabled], 2890, Note,2
[GPS disabled], 2890, Note,6
[GPS disabled], 2891, Note,6
[GPS disabled], 2891, Note,1
[GPS disabled], 2891, Note,7
[GPS disabled], 2891, Note,5
[GPS disabled], 2891, Note,3
[GPS disabled], 2891, Note,6
[GPS disabled], 2891, Note,3
[GPS disabled], 2891, Note,5
[GPS disabled], 2892, Note,3
[GPS disabled], 2892, Note,2
[GPS disabled], 2892, Note,2
[GPS disabled], 2892, Note,2
[GPS disabled], 2892, Note,2
[GPS disabled], 2892, Note,4
[GPS disabled], 2892, Note,2
[GPS disabled], 2893, Note,5
[GPS disabled], 2893, Note,5
[GPS disabled], 2893, Note,5
[GPS disabled], 2894, Note,5
[GPS disabled], 2894, Note,5
[GPS disabled], 2894, Note,5
[GPS disabled], 2894, Note,6
[GPS disabled], 2895, Note,4
[GPS disabled], 2895, Note,7
[GPS disabled], 2895, Note,5
[GPS disabled], 2896, Note,8
[GPS disabled], 2896, Note,6
[GPS disabled], 2896, Note,8
[GPS disabled], 2897, Switching to instrument 0
[GPS disabled], 2897, Note,7
[GPS disabled], 2897, Note,6
[GPS disabled], 2898, Note,5
[GPS disabled], 2898, Note,4
[GPS disabled], 2899, Note,2
[GPS disabled], 2899, Note,1
[GPS disabled], 2899, Switching to instrument 1
[GPS disabled], 2900, Switching to instrument 2
[GPS disabled], 2901, Switching to instrument 3
[GPS disabled], 2901, Switching to instrument 4
[GPS disabled], 2901, Switching to noises
[GPS disabled], 2902, Switching to instrument 0
[GPS disabled], 2983, Note,8
[GPS disabled], 2984, Note,8
[GPS disabled], 2987, Note,7
[GPS disabled], 2987, Note,6
[GPS disabled], 2988, Note,5
[GPS disabled], 2989, Note,4
[GPS disabled], 2990, Note,2
[GPS disabled], 2990, Note,1
[GPS disabled], 3092, Note,5
[GPS disabled], 3095, Note,4
[GPS disabled], 3097, Note,1
[GPS disabled], 3097, Note,1
[GPS disabled], 3103, Note,6
[GPS disabled], 3160, Note,5
[GPS disabled], 3161, Note,5
[GPS disabled], 3162, Note,4
[GPS disabled], 3163, Note,3
[GPS disabled], 3164, Note,2
[GPS disabled], 3165, Note,1
[GPS disabled], 3179, Note,1
[GPS disabled], 3180, Note,2
[GPS disabled], 3180, Note,3
[GPS disabled], 3180, Note,3
[GPS disabled], 3180, Note,3
[GPS disabled], 3181, Note,4
