Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Switching to instrument 1
04/18/2012, 14:56:26, Screen Saver
04/18/2012, 14:56:37, Screen Saver
04/18/2012, 14:56:48, Screen Saver
04/18/2012, 14:56:59, Screen Saver
04/18/2012, 14:57:04, Note,8
04/18/2012, 14:57:14, Screen Saver
04/18/2012, 14:57:25, Screen Saver
04/18/2012, 14:57:36, Screen Saver
04/18/2012, 14:57:47, Screen Saver
04/18/2012, 14:57:58, Screen Saver
04/18/2012, 14:58:09, Screen Saver
04/18/2012, 14:58:20, Screen Saver
04/18/2012, 14:58:31, Screen Saver
04/18/2012, 14:58:42, Screen Saver
04/18/2012, 14:58:53, Screen Saver
04/18/2012, 14:58:53, Note,8
04/18/2012, 14:59:05, Screen Saver
04/18/2012, 14:59:16, Screen Saver
04/18/2012, 14:59:27, Screen Saver
04/18/2012, 14:59:38, Screen Saver
04/18/2012, 14:59:49, Screen Saver
04/18/2012, 15:00:00, Screen Saver
04/18/2012, 15:00:11, Screen Saver
04/18/2012, 15:00:22, Screen Saver
04/18/2012, 15:00:33, Note,8
04/18/2012, 15:00:36, Note,7
04/18/2012, 15:00:37, Note,7
04/18/2012, 15:00:38, Note,7
04/18/2012, 15:00:38, Note,7
04/18/2012, 15:00:39, Note,6
04/18/2012, 15:00:40, Note,5
04/18/2012, 15:00:40, Note,4
04/18/2012, 15:00:41, Note,3
04/18/2012, 15:00:42, Note,2
04/18/2012, 15:00:43, Note,1
04/18/2012, 15:00:44, Switching to instrument 2
04/18/2012, 15:00:44, Note,6
04/18/2012, 15:00:47, Note,8
04/18/2012, 15:00:49, Note,6
04/18/2012, 15:00:51, Note,5
04/18/2012, 15:00:51, Note,5
04/18/2012, 15:00:54, Note,2
04/18/2012, 15:00:54, Note,8
04/18/2012, 15:00:54, Note,6
04/18/2012, 15:00:55, Note,8
04/18/2012, 15:00:55, Note,3
04/18/2012, 15:00:55, Note,3
04/18/2012, 15:00:56, Note,8
04/18/2012, 15:00:56, Note,4
04/18/2012, 15:00:57, Note,8
04/18/2012, 15:00:58, Note,4
04/18/2012, 15:00:58, Note,6
04/18/2012, 15:00:58, Note,3
04/18/2012, 15:00:58, Note,7
04/18/2012, 15:00:58, Note,2
04/18/2012, 15:00:59, Note,8
04/18/2012, 15:00:59, Note,2
04/18/2012, 15:00:59, Note,2
04/18/2012, 15:00:59, Note,6
04/18/2012, 15:00:59, Note,7
04/18/2012, 15:01:00, Note,7
04/18/2012, 15:01:00, Note,2
04/18/2012, 15:01:00, Note,6
04/18/2012, 15:01:00, Note,8
04/18/2012, 15:01:00, Note,8
04/18/2012, 15:01:01, Note,2
04/18/2012, 15:01:01, Note,3
04/18/2012, 15:01:01, Note,7
04/18/2012, 15:01:01, Note,3
04/18/2012, 15:01:02, Note,6
04/18/2012, 15:01:03, Note,8
04/18/2012, 15:01:03, Note,6
04/18/2012, 15:01:03, Note,7
04/18/2012, 15:01:03, Note,6
04/18/2012, 15:01:04, Note,7
04/18/2012, 15:01:04, Note,7
04/18/2012, 15:01:04, Note,7
04/18/2012, 15:01:04, Note,7
04/18/2012, 15:01:04, Note,5
04/18/2012, 15:01:04, Note,6
04/18/2012, 15:01:05, Note,4
04/18/2012, 15:01:06, Note,6
04/18/2012, 15:01:06, Note,5
04/18/2012, 15:01:07, Note,7
04/18/2012, 15:01:07, Note,7
04/18/2012, 15:01:07, Note,7
04/18/2012, 15:01:07, Note,6
04/18/2012, 15:01:07, Note,5
04/18/2012, 15:01:07, Note,7
04/18/2012, 15:01:07, Note,7
04/18/2012, 15:01:08, Note,6
04/18/2012, 15:01:09, Note,5
04/18/2012, 15:01:10, Note,7
04/18/2012, 15:01:10, Note,6
04/18/2012, 15:01:10, Note,7
04/18/2012, 15:01:11, Note,7
04/18/2012, 15:01:11, Note,5
04/18/2012, 15:01:12, Note,7
04/18/2012, 15:01:12, Note,4
04/18/2012, 15:01:13, Note,5
04/18/2012, 15:01:13, Note,4
04/18/2012, 15:01:14, Note,5
04/18/2012, 15:01:14, Note,4
04/18/2012, 15:01:14, Note,4
04/18/2012, 15:01:14, Note,4
04/18/2012, 15:01:14, Note,5
04/18/2012, 15:01:15, Note,4
04/18/2012, 15:01:15, Note,3
04/18/2012, 15:01:16, Note,2
04/18/2012, 15:01:16, Note,2
04/18/2012, 15:01:16, Note,2
04/18/2012, 15:01:16, Note,4
04/18/2012, 15:01:17, Note,4
04/18/2012, 15:01:17, Note,5
04/18/2012, 15:01:19, Note,3
04/18/2012, 15:01:19, Note,3
04/18/2012, 15:01:20, Note,1
04/18/2012, 15:01:22, Note,1
04/18/2012, 15:01:23, Note,6
04/18/2012, 15:01:23, Note,5
04/18/2012, 15:01:24, Note,5
04/18/2012, 15:01:24, Note,6
04/18/2012, 15:01:26, Note,7
04/18/2012, 15:01:26, Note,7
04/18/2012, 15:01:27, Note,7
04/18/2012, 15:01:27, Note,7
04/18/2012, 15:01:28, Note,7
04/18/2012, 15:01:30, Note,6
04/18/2012, 15:01:31, Note,4
04/18/2012, 15:01:31, Note,5
04/18/2012, 15:01:32, Note,4
04/18/2012, 15:01:32, Note,6
04/18/2012, 15:01:33, Note,4
04/18/2012, 15:01:34, Note,4
04/18/2012, 15:01:34, Note,5
04/18/2012, 15:01:34, Note,4
04/18/2012, 15:01:35, Note,4
04/18/2012, 15:01:36, Note,2
04/18/2012, 15:01:36, Note,2
04/18/2012, 15:01:37, Note,4
04/18/2012, 15:01:38, Note,3
04/18/2012, 15:01:40, Note,2
04/18/2012, 15:01:40, Note,1
04/18/2012, 15:01:41, Note,2
04/18/2012, 15:01:41, Note,3
04/18/2012, 15:01:42, Note,5
04/18/2012, 15:01:42, Note,5
04/18/2012, 15:01:43, Note,1
04/18/2012, 15:01:43, Note,1
04/18/2012, 15:01:43, Note,2
04/18/2012, 15:01:44, Note,2
04/18/2012, 15:01:44, Note,4
04/18/2012, 15:01:44, Note,5
04/18/2012, 15:01:44, Note,1
04/18/2012, 15:01:44, Note,5
04/18/2012, 15:01:45, Note,3
04/18/2012, 15:01:46, Note,3
04/18/2012, 15:01:47, Note,4
04/18/2012, 15:01:47, Note,5
04/18/2012, 15:01:48, Note,5
04/18/2012, 15:01:49, Note,4
04/18/2012, 15:01:49, Note,5
04/18/2012, 15:01:49, Note,8
04/18/2012, 15:01:50, Note,8
04/18/2012, 15:01:53, Note,7
04/18/2012, 15:01:53, Note,6
04/18/2012, 15:01:54, Note,5
04/18/2012, 15:01:54, Note,6
04/18/2012, 15:01:55, Note,3
04/18/2012, 15:01:55, Note,6
04/18/2012, 15:01:56, Note,5
04/18/2012, 15:01:56, Note,3
04/18/2012, 15:01:56, Note,3
04/18/2012, 15:01:56, Note,5
04/18/2012, 15:01:56, Note,5
04/18/2012, 15:01:56, Note,3
04/18/2012, 15:01:57, Note,5
04/18/2012, 15:02:01, Note,5
04/18/2012, 15:02:01, Note,5
04/18/2012, 15:02:02, Note,4
04/18/2012, 15:02:02, Note,4
04/18/2012, 15:02:03, Note,4
04/18/2012, 15:02:03, Note,5
04/18/2012, 15:02:03, Note,6
04/18/2012, 15:02:03, Note,7
04/18/2012, 15:02:04, Note,7
04/18/2012, 15:02:04, Note,6
04/18/2012, 15:02:05, Note,3
04/18/2012, 15:02:05, Note,4
04/18/2012, 15:02:06, Note,2
04/18/2012, 15:02:06, Note,2
04/18/2012, 15:02:06, Note,2
04/18/2012, 15:02:06, Note,3
04/18/2012, 15:02:07, Note,4
04/18/2012, 15:02:07, Note,2
04/18/2012, 15:02:07, Note,6
04/18/2012, 15:02:08, Note,4
04/18/2012, 15:02:08, Note,1
04/18/2012, 15:02:08, Switching to instrument 3
04/18/2012, 15:02:09, Note,1
04/18/2012, 15:02:09, Note,6
04/18/2012, 15:02:10, Switching to instrument 4
04/18/2012, 15:02:12, Note,1
04/18/2012, 15:02:14, Note,2
04/18/2012, 15:02:14, Note,2
04/18/2012, 15:02:15, Note,3
04/18/2012, 15:02:15, Note,3
04/18/2012, 15:02:15, Note,4
04/18/2012, 15:02:16, Note,5
04/18/2012, 15:02:16, Note,5
04/18/2012, 15:02:16, Note,5
04/18/2012, 15:02:18, Note,5
04/18/2012, 15:02:19, Note,5
04/18/2012, 15:02:19, Note,5
04/18/2012, 15:02:21, Note,4
04/18/2012, 15:02:21, Note,3
04/18/2012, 15:02:22, Note,1
04/18/2012, 15:02:22, Switching to noises
04/18/2012, 15:02:23, Note,1
04/18/2012, 15:02:23, Note,4
04/18/2012, 15:02:23, Note,2
04/18/2012, 15:02:23, Note,5
04/18/2012, 15:02:24, Note,1
04/18/2012, 15:02:24, Note,2
04/18/2012, 15:02:24, Note,4
04/18/2012, 15:02:25, Note,2
04/18/2012, 15:02:25, Note,5
04/18/2012, 15:02:25, Note,3
04/18/2012, 15:02:25, Note,5
04/18/2012, 15:02:26, Note,6
04/18/2012, 15:02:26, Note,3
04/18/2012, 15:02:26, Note,3
04/18/2012, 15:02:26, Note,3
04/18/2012, 15:02:26, Note,3
04/18/2012, 15:02:26, Note,5
04/18/2012, 15:02:27, Note,3
04/18/2012, 15:02:27, Note,3
04/18/2012, 15:02:27, Note,4
04/18/2012, 15:02:28, Note,3
04/18/2012, 15:02:28, Note,1
04/18/2012, 15:02:28, Switching to instrument 0
