Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
10/28/2011, 09:40:28, Switching to instrument 1
10/28/2011, 09:40:28, Switching to instrument 2
10/28/2011, 09:40:29, Switching to instrument 3
10/28/2011, 09:43:58, Note,2
10/28/2011, 09:43:58, Note,3
10/28/2011, 09:43:58, Note,7
10/28/2011, 09:43:58, Note,2
10/28/2011, 09:43:58, Note,6
10/28/2011, 09:43:59, Note,5
10/28/2011, 09:43:59, Note,2
10/28/2011, 09:43:59, Note,5
10/28/2011, 09:43:59, Note,5
10/28/2011, 09:43:59, Note,4
10/28/2011, 09:43:59, Note,4
10/28/2011, 09:44:00, Note,2
10/28/2011, 09:44:00, Note,1
10/28/2011, 09:44:00, Note,1
10/28/2011, 09:44:00, Note,1
10/28/2011, 09:44:00, Note,1
10/28/2011, 09:44:00, Note,2
10/28/2011, 09:44:00, Note,4
10/28/2011, 09:44:01, Note,5
10/28/2011, 09:44:01, Note,5
10/28/2011, 09:44:01, Note,6
10/28/2011, 09:44:01, Note,7
10/28/2011, 09:44:01, Note,6
10/28/2011, 09:44:01, Note,5
10/28/2011, 09:44:01, Note,4
10/28/2011, 09:44:01, Note,2
10/28/2011, 09:44:06, Switching to instrument 3
10/28/2011, 09:44:07, Note,1
10/28/2011, 09:44:07, Note,2
10/28/2011, 09:44:08, Note,3
10/28/2011, 09:44:08, Note,2
10/28/2011, 09:44:08, Note,1
10/28/2011, 09:44:08, Note,1
10/28/2011, 09:44:08, Note,2
10/28/2011, 09:44:09, Note,4
10/28/2011, 09:44:09, Note,5
10/28/2011, 09:44:09, Note,6
10/28/2011, 09:44:09, Note,6
10/28/2011, 09:44:09, Note,5
10/28/2011, 09:44:09, Note,4
10/28/2011, 09:44:09, Note,2
10/28/2011, 09:44:09, Note,1
10/28/2011, 09:44:10, Switching to instrument 4
10/28/2011, 09:44:11, Note,1
10/28/2011, 09:44:11, Note,2
10/28/2011, 09:44:11, Note,4
10/28/2011, 09:44:11, Note,5
10/28/2011, 09:44:11, Note,6
10/28/2011, 09:44:12, Note,7
10/28/2011, 09:44:12, Note,6
10/28/2011, 09:44:12, Note,5
10/28/2011, 09:44:12, Note,4
10/28/2011, 09:44:12, Note,1
10/28/2011, 09:44:13, Note,2
10/28/2011, 09:44:13, Switching to noises
10/28/2011, 09:44:14, Note,1
10/28/2011, 09:44:14, Note,2
10/28/2011, 09:44:15, Note,4
10/28/2011, 09:44:15, Note,3
10/28/2011, 09:44:15, Note,2
10/28/2011, 09:44:15, Note,1
10/28/2011, 09:44:16, Note,2
10/28/2011, 09:44:16, Note,4
10/28/2011, 09:44:16, Note,5
10/28/2011, 09:44:16, Note,7
10/28/2011, 09:44:17, Note,5
10/28/2011, 09:44:17, Note,4
10/28/2011, 09:44:17, Note,8
10/28/2011, 09:44:17, Note,3
10/28/2011, 09:44:17, Note,2
10/28/2011, 09:44:18, Note,1
10/28/2011, 09:44:18, Note,2
10/28/2011, 09:44:18, Note,7
10/28/2011, 09:44:18, Note,3
10/28/2011, 09:44:18, Note,4
10/28/2011, 09:44:18, Note,8
10/28/2011, 09:44:18, Note,5
10/28/2011, 09:44:19, Note,8
10/28/2011, 09:44:19, Note,8
10/28/2011, 09:44:21, Note,8
10/28/2011, 09:44:21, Note,6
10/28/2011, 09:44:21, Note,6
10/28/2011, 09:44:22, Note,6
10/28/2011, 09:44:23, Note,8
10/28/2011, 09:44:23, Note,8
10/28/2011, 09:44:23, Note,6
10/28/2011, 09:44:24, Note,8
10/28/2011, 09:44:31, Note,8
10/28/2011, 09:44:32, Note,8
10/28/2011, 09:44:33, Note,8
10/28/2011, 09:44:48, Note,8
10/28/2011, 09:44:48, Note,5
10/28/2011, 09:44:48, Note,4
10/28/2011, 09:44:48, Note,2
10/28/2011, 09:44:49, Note,2
10/28/2011, 09:44:49, Note,4
10/28/2011, 09:44:49, Note,5
10/28/2011, 09:44:49, Note,6
10/28/2011, 09:44:49, Note,6
10/28/2011, 09:44:49, Note,6
10/28/2011, 09:44:50, Note,6
10/28/2011, 09:44:50, Note,4
10/28/2011, 09:44:50, Note,4
10/28/2011, 09:44:50, Note,2
10/28/2011, 09:44:50, Note,5
10/28/2011, 09:44:51, Note,6
10/28/2011, 09:44:51, Note,4
10/28/2011, 09:44:51, Note,6
10/28/2011, 09:44:51, Note,6
10/28/2011, 09:44:51, Note,2
10/28/2011, 09:44:51, Note,5
10/28/2011, 09:44:51, Note,4
10/28/2011, 09:44:52, Note,3
10/28/2011, 09:44:52, Note,3
10/28/2011, 09:44:52, Note,3
10/28/2011, 09:44:52, Note,5
10/28/2011, 09:44:52, Note,3
10/28/2011, 09:44:53, Note,5
10/28/2011, 09:44:53, Note,5
10/28/2011, 09:44:53, Note,6
10/28/2011, 09:44:53, Note,4
10/28/2011, 09:44:53, Note,7
10/28/2011, 09:44:53, Note,5
10/28/2011, 09:44:54, Note,5
10/28/2011, 09:44:54, Note,4
10/28/2011, 09:44:55, Note,7
10/28/2011, 09:44:55, Note,1
10/28/2011, 09:44:55, Note,4
10/28/2011, 09:44:55, Note,1
10/28/2011, 09:44:56, Note,1
10/28/2011, 09:44:56, Note,2
10/28/2011, 09:44:56, Note,6
10/28/2011, 09:44:56, Note,4
10/28/2011, 09:44:56, Note,7
10/28/2011, 09:44:56, Note,6
10/28/2011, 09:44:56, Note,8
10/28/2011, 09:44:56, Note,6
10/28/2011, 09:44:57, Note,6
10/28/2011, 09:44:57, Note,7
10/28/2011, 09:44:57, Note,6
10/28/2011, 09:44:57, Note,5
10/28/2011, 09:44:58, Note,4
10/28/2011, 09:44:58, Note,3
10/28/2011, 09:44:58, Note,1
10/28/2011, 09:44:59, Note,8
10/28/2011, 09:44:59, Note,7
10/28/2011, 09:44:59, Note,6
10/28/2011, 09:45:00, Note,4
10/28/2011, 09:45:00, Note,7
10/28/2011, 09:45:00, Note,6
10/28/2011, 09:45:00, Note,5
10/28/2011, 09:45:01, Note,4
10/28/2011, 09:45:02, Note,1
10/28/2011, 09:45:05, Note,6
10/28/2011, 09:45:05, Note,4
10/28/2011, 09:45:06, Note,5
10/28/2011, 09:45:06, Note,5
10/28/2011, 09:45:06, Note,2
10/28/2011, 09:45:07, Note,1
10/28/2011, 09:45:07, Note,2
10/28/2011, 09:45:07, Note,1
10/28/2011, 09:45:07, Switching to instrument 0
10/28/2011, 09:45:11, Note,6
10/28/2011, 09:45:11, Note,8
10/28/2011, 09:45:12, Note,7
10/28/2011, 09:45:12, Note,5
10/28/2011, 09:45:12, Note,6
10/28/2011, 09:45:12, Note,6
10/28/2011, 09:45:12, Note,5
10/28/2011, 09:45:12, Note,5
10/28/2011, 09:45:13, Note,3
10/28/2011, 09:45:32, Note,4
10/28/2011, 09:45:32, Note,4
10/28/2011, 09:45:32, Note,4
10/28/2011, 09:45:33, Note,4
10/28/2011, 09:45:35, Note,2
10/28/2011, 09:45:35, Note,4
10/28/2011, 09:45:35, Note,5
10/28/2011, 09:45:35, Note,5
10/28/2011, 09:45:35, Note,6
10/28/2011, 09:45:35, Note,6
10/28/2011, 09:45:35, Note,7
10/28/2011, 09:45:35, Note,6
10/28/2011, 09:45:36, Note,4
10/28/2011, 09:45:36, Note,3
10/28/2011, 09:45:36, Note,2
10/28/2011, 09:45:36, Note,1
10/28/2011, 09:45:37, Note,1
10/28/2011, 09:45:37, Note,2
10/28/2011, 09:45:37, Note,3
10/28/2011, 09:45:37, Note,4
10/28/2011, 09:45:37, Note,5
10/28/2011, 09:45:37, Note,6
10/28/2011, 09:45:38, Note,6
10/28/2011, 09:45:38, Note,5
10/28/2011, 09:45:38, Note,4
10/28/2011, 09:45:38, Note,3
10/28/2011, 09:45:38, Note,2
10/28/2011, 09:45:38, Note,1
10/28/2011, 09:45:38, Note,1
10/28/2011, 09:45:39, Note,2
10/28/2011, 09:45:39, Note,3
10/28/2011, 09:45:39, Note,5
10/28/2011, 09:45:39, Note,6
10/28/2011, 09:45:39, Note,6
10/28/2011, 09:45:39, Note,5
10/28/2011, 09:45:39, Note,4
10/28/2011, 09:45:39, Note,3
10/28/2011, 09:45:39, Note,2
10/28/2011, 09:45:41, Note,2
10/28/2011, 09:45:41, Note,4
10/28/2011, 09:45:41, Note,5
10/28/2011, 09:45:43, Note,8
10/28/2011, 09:45:43, Note,8
10/28/2011, 09:45:43, Note,7
10/28/2011, 09:45:44, Note,7
10/28/2011, 09:45:44, Note,5
10/28/2011, 09:45:45, Note,8
10/28/2011, 09:45:45, Note,7
10/28/2011, 09:45:45, Note,5
10/28/2011, 09:45:46, Note,5
10/28/2011, 09:46:06, Note,7
10/28/2011, 09:46:06, Note,7
10/28/2011, 09:46:06, Note,2
10/28/2011, 09:46:08, Note,7
10/28/2011, 09:46:08, Note,7
10/28/2011, 09:46:08, Note,7
10/28/2011, 09:46:08, Note,3
10/28/2011, 09:46:08, Note,7
10/28/2011, 09:46:09, Note,7
10/28/2011, 09:46:13, Note,3
10/28/2011, 09:46:13, Note,3
10/28/2011, 09:46:13, Note,3
10/28/2011, 09:46:14, Note,2
10/28/2011, 09:46:14, Note,2
10/28/2011, 09:46:17, Note,2
10/28/2011, 09:46:17, Note,4
10/28/2011, 09:46:17, Note,2
10/28/2011, 09:46:19, Note,4
10/28/2011, 09:46:21, Note,3
10/28/2011, 09:46:21, Note,3
10/28/2011, 09:46:21, Note,2
10/28/2011, 09:46:22, Note,2
10/28/2011, 09:46:22, Note,3
10/28/2011, 09:46:23, Note,3
10/28/2011, 09:46:24, Note,2
10/28/2011, 09:46:27, Note,2
10/28/2011, 09:46:27, Note,3
10/28/2011, 09:46:28, Note,4
10/28/2011, 09:46:28, Note,5
10/28/2011, 09:46:29, Note,5
10/28/2011, 09:46:29, Note,5
10/28/2011, 09:46:30, Note,5
10/28/2011, 09:46:31, Note,5
10/28/2011, 09:46:31, Note,6
10/28/2011, 09:46:31, Note,7
10/28/2011, 09:46:32, Note,7
10/28/2011, 09:46:36, Note,6
10/28/2011, 09:46:36, Note,8
10/28/2011, 09:46:36, Note,7
10/28/2011, 09:46:36, Note,7
10/28/2011, 09:46:37, Note,7
10/28/2011, 09:46:37, Note,8
10/28/2011, 09:46:37, Note,8
10/28/2011, 09:46:37, Note,8
10/28/2011, 09:46:38, Note,8
10/28/2011, 09:46:38, Note,8
10/28/2011, 09:46:38, Note,8
10/28/2011, 09:46:41, Note,8
10/28/2011, 09:46:42, Note,7
10/28/2011, 09:46:46, Note,8
10/28/2011, 09:58:19, Note,8
10/28/2011, 09:58:20, Note,6
10/28/2011, 09:58:20, Note,5
10/28/2011, 09:58:20, Note,5
10/28/2011, 09:58:20, Note,5
10/28/2011, 09:58:20, Note,5
10/28/2011, 09:58:21, Note,5
10/28/2011, 09:58:21, Note,4
10/28/2011, 09:58:21, Note,3
10/28/2011, 09:58:21, Note,8
10/28/2011, 09:58:21, Note,7
10/28/2011, 09:58:22, Note,1
10/28/2011, 09:58:22, Note,2
10/28/2011, 09:58:22, Note,2
10/28/2011, 09:58:22, Note,5
10/28/2011, 09:58:22, Note,5
10/28/2011, 09:58:23, Note,2
10/28/2011, 09:58:23, Note,4
10/28/2011, 09:58:23, Note,3
10/28/2011, 09:58:23, Note,4
10/28/2011, 09:58:24, Note,5
10/28/2011, 09:58:24, Note,6
10/28/2011, 09:58:24, Note,6
10/28/2011, 09:58:25, Note,5
10/28/2011, 09:58:25, Note,8
10/28/2011, 09:58:25, Note,5
10/28/2011, 09:58:25, Note,4
10/28/2011, 09:58:25, Note,3
10/28/2011, 09:58:25, Note,2
10/28/2011, 09:58:25, Note,1
10/28/2011, 09:58:26, Note,8
10/28/2011, 09:58:26, Note,7
10/28/2011, 09:58:26, Note,6
10/28/2011, 09:58:27, Note,5
10/28/2011, 09:58:27, Note,5
10/28/2011, 09:58:27, Note,4
10/28/2011, 09:58:28, Note,2
10/28/2011, 09:58:28, Note,2
10/28/2011, 09:58:28, Note,2
10/28/2011, 09:58:31, Note,1
10/28/2011, 09:58:31, Note,1
10/28/2011, 09:58:31, Note,2
10/28/2011, 09:58:32, Note,1
10/28/2011, 09:58:32, Note,3
10/28/2011, 09:58:33, Note,2
10/28/2011, 09:58:33, Note,4
10/28/2011, 09:58:34, Note,5
10/28/2011, 09:58:34, Note,6
10/28/2011, 09:58:35, Note,6
10/28/2011, 09:58:35, Note,7
10/28/2011, 09:58:36, Note,7
10/28/2011, 09:58:36, Note,6
10/28/2011, 09:58:37, Note,5
10/28/2011, 09:58:38, Note,4
10/28/2011, 09:58:39, Note,5
10/28/2011, 09:58:39, Note,5
10/28/2011, 09:58:39, Note,4
10/28/2011, 09:58:40, Note,4
10/28/2011, 09:58:40, Note,3
10/28/2011, 09:58:40, Note,2
10/28/2011, 09:58:40, Note,2
10/28/2011, 09:58:40, Note,5
10/28/2011, 09:58:40, Note,6
10/28/2011, 09:58:40, Note,6
10/28/2011, 09:58:41, Note,7
10/28/2011, 09:58:41, Note,7
10/28/2011, 09:58:42, Note,8
10/28/2011, 09:59:22, Note,8
10/28/2011, 09:59:24, Note,8
10/28/2011, 09:59:24, Note,7
10/28/2011, 09:59:25, Note,6
10/28/2011, 09:59:26, Note,5
10/28/2011, 09:59:26, Note,2
10/28/2011, 09:59:28, Note,1
10/28/2011, 09:59:28, Note,1
10/28/2011, 10:00:09, Note,8
10/28/2011, 10:00:10, Note,7
10/28/2011, 10:00:10, Note,7
10/28/2011, 10:00:10, Note,6
10/28/2011, 10:00:10, Note,6
10/28/2011, 10:00:12, Note,2
10/28/2011, 10:00:13, Note,8
10/28/2011, 10:00:13, Note,8
10/28/2011, 10:00:13, Note,1
10/28/2011, 10:00:13, Note,7
10/28/2011, 10:00:14, Note,6
10/28/2011, 10:00:14, Note,5
10/28/2011, 10:00:14, Note,4
10/28/2011, 10:00:15, Note,3
10/28/2011, 10:00:15, Note,1
10/28/2011, 10:00:15, Note,2
10/28/2011, 10:00:16, Note,3
10/28/2011, 10:00:20, Note,2
10/28/2011, 10:00:20, Note,2
10/28/2011, 10:00:20, Note,3
10/28/2011, 10:00:20, Note,3
10/28/2011, 10:00:21, Note,4
10/28/2011, 10:00:23, Note,4
10/28/2011, 10:00:25, Note,5
10/28/2011, 10:00:25, Note,6
10/28/2011, 10:00:26, Note,6
10/28/2011, 10:00:27, Note,7
10/28/2011, 10:00:27, Note,7
10/28/2011, 10:00:28, Note,8
10/28/2011, 10:00:49, Note,1
10/28/2011, 10:00:49, Note,2
10/28/2011, 10:00:50, Note,4
10/28/2011, 10:00:51, Note,6
10/28/2011, 10:00:52, Note,7
10/28/2011, 10:00:54, Note,8
10/28/2011, 10:00:54, Note,1
10/28/2011, 10:00:54, Note,1
10/28/2011, 10:00:54, Note,2
10/28/2011, 10:00:54, Note,2
10/28/2011, 10:00:55, Note,1
10/28/2011, 10:00:55, Note,2
10/28/2011, 10:00:55, Note,3
10/28/2011, 10:00:56, Note,4
10/28/2011, 10:00:56, Note,7
10/28/2011, 10:00:56, Note,5
10/28/2011, 10:00:56, Note,6
10/28/2011, 10:00:56, Note,5
10/28/2011, 10:00:57, Note,6
10/28/2011, 10:00:57, Note,8
10/28/2011, 10:00:58, Note,4
10/28/2011, 10:00:58, Note,7
10/28/2011, 10:00:58, Note,3
10/28/2011, 10:00:58, Note,2
10/28/2011, 10:00:58, Note,8
10/28/2011, 10:00:58, Note,8
10/28/2011, 10:00:59, Note,1
10/28/2011, 10:00:59, Note,8
10/28/2011, 10:01:27, Note,8
10/28/2011, 10:01:27, Note,6
10/28/2011, 10:01:27, Note,5
10/28/2011, 10:01:27, Note,5
10/28/2011, 10:01:27, Note,4
10/28/2011, 10:01:28, Note,3
10/28/2011, 10:01:28, Note,2
10/28/2011, 10:01:28, Note,1
10/28/2011, 10:01:28, Note,1
10/28/2011, 10:01:29, Note,3
10/28/2011, 10:01:29, Note,4
10/28/2011, 10:01:29, Note,5
10/28/2011, 10:01:29, Note,6
10/28/2011, 10:01:29, Note,7
10/28/2011, 10:01:30, Note,8
10/28/2011, 10:01:30, Note,8
10/28/2011, 10:01:30, Note,7
10/28/2011, 10:01:31, Note,6
10/28/2011, 10:01:31, Note,5
10/28/2011, 10:01:31, Note,5
10/28/2011, 10:01:31, Note,4
10/28/2011, 10:01:31, Note,4
10/28/2011, 10:01:31, Note,3
10/28/2011, 10:01:31, Note,2
10/28/2011, 10:01:31, Note,2
10/28/2011, 10:01:32, Note,1
10/28/2011, 10:01:32, Note,3
10/28/2011, 10:01:33, Note,6
10/28/2011, 10:01:33, Note,7
10/28/2011, 10:01:33, Note,8
10/28/2011, 10:01:34, Note,7
10/28/2011, 10:01:34, Note,8
10/28/2011, 10:01:35, Note,8
10/28/2011, 10:01:35, Note,7
10/28/2011, 10:01:35, Note,8
10/28/2011, 10:01:36, Note,8
10/28/2011, 10:01:36, Note,7
10/28/2011, 10:01:36, Note,6
10/28/2011, 10:01:36, Note,6
10/28/2011, 10:01:37, Note,7
10/28/2011, 10:01:37, Note,8
10/28/2011, 10:01:37, Note,7
10/28/2011, 10:01:38, Note,7
10/28/2011, 10:01:38, Note,8
