Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/11/2011, 15:45:55, Switching to instrument 1
11/11/2011, 16:03:58, Note,1
11/11/2011, 16:03:58, Note,2
11/11/2011, 16:03:58, Note,1
11/11/2011, 16:03:59, Note,2
11/11/2011, 16:03:59, Note,2
11/11/2011, 16:04:00, Note,2
11/11/2011, 16:04:00, Note,3
11/11/2011, 16:04:00, Note,3
11/11/2011, 16:04:00, Note,3
11/11/2011, 16:04:00, Note,4
11/11/2011, 16:04:00, Note,3
11/11/2011, 16:04:01, Note,5
11/11/2011, 16:04:01, Note,5
11/11/2011, 16:04:02, Note,6
11/11/2011, 16:04:02, Note,6
11/11/2011, 16:04:02, Note,7
11/11/2011, 16:04:03, Note,7
11/11/2011, 16:04:03, Note,8
11/11/2011, 16:04:03, Note,6
11/11/2011, 16:04:03, Note,8
11/11/2011, 16:04:04, Note,8
11/11/2011, 16:04:04, Note,3
11/11/2011, 16:04:04, Note,6
11/11/2011, 16:04:04, Note,8
11/11/2011, 16:04:07, Note,7
11/11/2011, 16:04:07, Note,6
11/11/2011, 16:04:07, Note,4
11/11/2011, 16:04:07, Note,5
11/11/2011, 16:04:08, Note,5
11/11/2011, 16:04:08, Note,6
11/11/2011, 16:04:08, Note,5
11/11/2011, 16:04:09, Note,5
11/11/2011, 16:04:09, Note,5
11/11/2011, 16:04:09, Note,5
11/11/2011, 16:04:09, Note,5
11/11/2011, 16:04:10, Note,5
11/11/2011, 16:04:10, Note,6
11/11/2011, 16:04:11, Note,5
11/11/2011, 16:04:11, Note,5
11/11/2011, 16:04:11, Note,4
11/11/2011, 16:04:11, Note,4
11/11/2011, 16:04:11, Note,5
11/11/2011, 16:04:12, Note,5
11/11/2011, 16:04:13, Note,5
11/11/2011, 16:04:13, Note,5
11/11/2011, 16:04:14, Note,6
11/11/2011, 16:04:14, Note,6
11/11/2011, 16:04:15, Note,5
11/11/2011, 16:04:15, Note,5
11/11/2011, 16:04:15, Note,5
11/11/2011, 16:04:16, Note,5
11/11/2011, 16:04:16, Note,4
11/11/2011, 16:04:16, Note,5
11/11/2011, 16:04:16, Note,6
11/11/2011, 16:04:17, Note,7
11/11/2011, 16:04:17, Note,6
11/11/2011, 16:04:17, Note,5
11/11/2011, 16:04:17, Note,5
11/11/2011, 16:04:17, Note,5
11/11/2011, 16:04:18, Note,5
11/11/2011, 16:04:18, Note,5
11/11/2011, 16:04:18, Note,5
11/11/2011, 16:04:19, Note,5
11/11/2011, 16:04:19, Note,6
11/11/2011, 16:04:19, Note,6
11/11/2011, 16:04:19, Note,6
11/11/2011, 16:04:20, Note,6
11/11/2011, 16:04:20, Note,6
11/11/2011, 16:04:20, Note,6
11/11/2011, 16:04:20, Note,6
11/11/2011, 16:04:21, Note,5
11/11/2011, 16:04:21, Note,5
11/11/2011, 16:04:21, Note,4
11/11/2011, 16:04:23, Switching to instrument 1
11/11/2011, 16:04:27, Note,1
11/11/2011, 16:04:27, Note,2
11/11/2011, 16:04:29, Note,4
11/11/2011, 16:04:30, Note,5
11/11/2011, 16:04:30, Note,5
11/11/2011, 16:04:30, Note,5
11/11/2011, 16:04:30, Note,6
11/11/2011, 16:04:31, Note,7
11/11/2011, 16:04:31, Note,8
11/11/2011, 16:04:32, Note,8
11/11/2011, 16:04:32, Note,7
11/11/2011, 16:04:32, Note,6
11/11/2011, 16:04:33, Switching to instrument 2
11/11/2011, 16:04:34, Note,1
11/11/2011, 16:04:35, Note,1
11/11/2011, 16:04:35, Note,2
11/11/2011, 16:04:36, Note,3
11/11/2011, 16:04:36, Note,2
11/11/2011, 16:04:37, Note,4
11/11/2011, 16:04:37, Note,3
11/11/2011, 16:04:37, Note,4
11/11/2011, 16:04:37, Note,4
11/11/2011, 16:04:37, Note,7
11/11/2011, 16:04:37, Note,6
11/11/2011, 16:04:37, Note,8
11/11/2011, 16:04:38, Note,8
11/11/2011, 16:04:38, Note,7
11/11/2011, 16:04:38, Note,8
11/11/2011, 16:04:38, Note,8
11/11/2011, 16:04:39, Note,6
11/11/2011, 16:04:39, Note,5
11/11/2011, 16:04:39, Note,8
11/11/2011, 16:04:39, Note,7
11/11/2011, 16:04:39, Note,6
11/11/2011, 16:04:39, Note,5
11/11/2011, 16:04:39, Note,4
11/11/2011, 16:04:39, Note,3
11/11/2011, 16:04:40, Note,2
11/11/2011, 16:04:41, Switching to instrument 3
11/11/2011, 16:04:42, Note,1
11/11/2011, 16:04:42, Note,1
11/11/2011, 16:04:42, Note,1
11/11/2011, 16:04:42, Note,3
11/11/2011, 16:04:43, Note,4
11/11/2011, 16:04:43, Note,2
11/11/2011, 16:04:43, Note,4
11/11/2011, 16:04:43, Note,5
11/11/2011, 16:04:44, Note,5
11/11/2011, 16:04:44, Note,4
11/11/2011, 16:04:44, Note,6
11/11/2011, 16:04:44, Note,6
11/11/2011, 16:04:44, Note,6
11/11/2011, 16:04:44, Note,5
11/11/2011, 16:04:45, Note,5
11/11/2011, 16:04:45, Note,5
11/11/2011, 16:04:45, Note,5
11/11/2011, 16:04:45, Note,6
11/11/2011, 16:04:45, Note,5
11/11/2011, 16:04:46, Note,7
11/11/2011, 16:04:46, Note,8
11/11/2011, 16:04:46, Note,6
11/11/2011, 16:04:47, Note,5
11/11/2011, 16:04:47, Note,4
11/11/2011, 16:04:47, Note,7
11/11/2011, 16:04:47, Note,6
11/11/2011, 16:04:47, Note,5
11/11/2011, 16:04:47, Note,4
11/11/2011, 16:04:47, Note,2
11/11/2011, 16:04:49, Switching to instrument 4
11/11/2011, 16:04:50, Note,1
11/11/2011, 16:04:50, Note,1
11/11/2011, 16:04:50, Note,2
11/11/2011, 16:04:50, Note,2
11/11/2011, 16:04:51, Note,2
11/11/2011, 16:04:52, Note,1
11/11/2011, 16:04:52, Note,2
11/11/2011, 16:04:52, Note,2
11/11/2011, 16:04:52, Note,1
11/11/2011, 16:04:52, Note,2
11/11/2011, 16:04:52, Note,1
11/11/2011, 16:04:53, Note,3
11/11/2011, 16:04:53, Note,4
11/11/2011, 16:04:53, Note,5
11/11/2011, 16:04:54, Note,7
11/11/2011, 16:04:54, Note,8
11/11/2011, 16:04:54, Note,8
11/11/2011, 16:04:54, Note,8
11/11/2011, 16:04:54, Note,8
11/11/2011, 16:04:55, Note,5
11/11/2011, 16:04:55, Note,4
11/11/2011, 16:04:55, Switching to noises
11/11/2011, 16:04:56, Switching to instrument 0
11/11/2011, 16:04:56, Switching to instrument 1
11/11/2011, 16:04:57, Switching to instrument 2
11/11/2011, 16:04:57, Switching to instrument 3
11/11/2011, 16:04:58, Note,1
11/11/2011, 16:04:58, Note,1
11/11/2011, 16:04:58, Note,2
11/11/2011, 16:04:59, Note,2
11/11/2011, 16:04:59, Note,1
11/11/2011, 16:04:59, Note,1
11/11/2011, 16:04:59, Note,3
11/11/2011, 16:05:00, Note,2
11/11/2011, 16:05:00, Note,4
11/11/2011, 16:05:01, Note,5
11/11/2011, 16:05:03, Note,6
11/11/2011, 16:05:03, Note,4
11/11/2011, 16:05:03, Note,6
11/11/2011, 16:05:03, Note,4
11/11/2011, 16:05:05, Note,7
11/11/2011, 16:05:05, Note,7
11/11/2011, 16:05:05, Note,8
11/11/2011, 16:05:06, Note,6
11/11/2011, 16:05:06, Note,4
11/11/2011, 16:05:07, Switching to instrument 4
