Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/03/2011, 14:39:18, Switching to instrument 1
11/03/2011, 14:39:18, Switching to instrument 2
11/03/2011, 14:39:18, Switching to instrument 3
11/03/2011, 14:39:20, Switching to instrument 4
11/03/2011, 14:43:29, Note,1
11/03/2011, 14:43:29, Note,3
11/03/2011, 14:43:30, Switching to instrument 2
11/03/2011, 14:43:30, Note,2
11/03/2011, 14:43:31, Note,1
11/03/2011, 14:43:31, Note,3
11/03/2011, 14:43:31, Note,2
11/03/2011, 14:43:31, Note,1
11/03/2011, 14:43:31, Note,2
11/03/2011, 14:43:31, Note,1
11/03/2011, 14:43:31, Note,3
11/03/2011, 14:43:31, Note,2
11/03/2011, 14:43:31, Note,3
11/03/2011, 14:43:31, Note,1
11/03/2011, 14:43:32, Note,2
11/03/2011, 14:43:32, Switching to instrument 3
11/03/2011, 14:43:33, Note,2
11/03/2011, 14:43:33, Note,2
11/03/2011, 14:43:33, Note,1
11/03/2011, 14:43:34, Note,3
11/03/2011, 14:43:34, Note,3
11/03/2011, 14:43:34, Note,3
11/03/2011, 14:43:34, Note,3
11/03/2011, 14:43:34, Note,3
11/03/2011, 14:43:35, Note,3
11/03/2011, 14:43:35, Note,3
11/03/2011, 14:43:35, Note,3
11/03/2011, 14:43:35, Note,3
11/03/2011, 14:43:35, Note,1
11/03/2011, 14:43:36, Note,3
11/03/2011, 14:43:36, Note,2
11/03/2011, 14:43:36, Note,2
11/03/2011, 14:43:36, Note,3
11/03/2011, 14:43:36, Note,1
11/03/2011, 14:43:37, Note,1
11/03/2011, 14:43:37, Note,1
11/03/2011, 14:43:37, Note,1
11/03/2011, 14:43:38, Note,1
11/03/2011, 14:43:38, Note,2
11/03/2011, 14:43:38, Note,1
11/03/2011, 14:43:38, Note,2
11/03/2011, 14:43:38, Note,3
11/03/2011, 14:43:38, Note,2
11/03/2011, 14:43:38, Note,1
11/03/2011, 14:43:38, Note,2
11/03/2011, 14:43:38, Note,3
11/03/2011, 14:43:39, Note,1
11/03/2011, 14:43:39, Note,2
