Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
01/06/2012, 09:15:47, Switching to instrument 1
01/06/2012, 09:15:51, Switching to instrument 2
01/06/2012, 09:17:30, Note,2
01/06/2012, 09:17:31, Note,1
01/06/2012, 09:17:32, Note,3
01/06/2012, 09:17:32, Note,3
01/06/2012, 09:17:32, Note,3
01/06/2012, 09:17:32, Note,2
01/06/2012, 09:17:33, Note,1
01/06/2012, 09:17:33, Note,2
01/06/2012, 09:17:34, Note,4
01/06/2012, 09:17:34, Note,4
01/06/2012, 09:18:09, Note,5
01/06/2012, 09:18:09, Note,4
01/06/2012, 09:18:10, Note,3
01/06/2012, 09:18:11, Note,4
01/06/2012, 09:18:11, Note,4
01/06/2012, 09:18:11, Note,3
01/06/2012, 09:18:12, Note,3
01/06/2012, 09:18:12, Note,4
01/06/2012, 09:18:12, Note,2
01/06/2012, 09:18:12, Note,3
01/06/2012, 09:18:13, Note,4
01/06/2012, 09:18:13, Note,5
01/06/2012, 09:18:14, Note,5
01/06/2012, 09:18:14, Note,4
01/06/2012, 09:18:14, Note,2
01/06/2012, 09:18:14, Note,1
01/06/2012, 09:18:15, Note,2
01/06/2012, 09:18:16, Note,3
01/06/2012, 09:18:16, Note,2
01/06/2012, 09:18:17, Note,2
01/06/2012, 09:18:21, Note,2
01/06/2012, 09:18:22, Note,3
01/06/2012, 09:18:22, Note,1
01/06/2012, 09:18:23, Note,2
01/06/2012, 09:18:24, Note,3
01/06/2012, 09:18:24, Note,4
01/06/2012, 09:18:25, Note,5
01/06/2012, 09:18:25, Note,4
01/06/2012, 09:18:25, Note,5
01/06/2012, 09:18:25, Note,3
01/06/2012, 09:18:25, Note,4
01/06/2012, 09:18:25, Note,2
01/06/2012, 09:18:26, Note,3
01/06/2012, 09:18:26, Note,1
01/06/2012, 09:18:26, Note,1
01/06/2012, 09:18:27, Note,4
01/06/2012, 09:18:27, Note,3
01/06/2012, 09:18:28, Note,4
01/06/2012, 09:18:28, Note,4
01/06/2012, 09:22:02, Note,2
01/06/2012, 09:22:02, Note,2
01/06/2012, 09:22:02, Note,3
01/06/2012, 09:22:03, Note,4
01/06/2012, 09:22:03, Note,5
01/06/2012, 09:22:03, Note,3
01/06/2012, 09:22:03, Note,6
01/06/2012, 09:22:04, Note,5
01/06/2012, 09:22:04, Note,5
01/06/2012, 09:22:04, Note,4
01/06/2012, 09:22:04, Note,4
01/06/2012, 09:22:05, Note,5
01/06/2012, 09:22:05, Note,5
01/06/2012, 09:22:05, Note,5
01/06/2012, 09:22:06, Note,4
01/06/2012, 09:22:07, Note,2
01/06/2012, 09:22:09, Note,4
01/06/2012, 09:22:09, Note,2
01/06/2012, 09:22:10, Note,2
01/06/2012, 09:22:10, Note,4
01/06/2012, 09:22:11, Note,2
01/06/2012, 09:22:11, Note,4
01/06/2012, 09:22:11, Note,2
01/06/2012, 09:22:11, Note,4
01/06/2012, 09:22:11, Note,5
01/06/2012, 09:22:11, Note,5
01/06/2012, 09:22:12, Note,6
01/06/2012, 09:22:12, Note,6
01/06/2012, 09:22:12, Note,4
01/06/2012, 09:22:12, Note,5
01/06/2012, 09:22:13, Note,5
01/06/2012, 09:22:13, Note,4
01/06/2012, 09:22:13, Note,4
01/06/2012, 09:22:14, Note,3
01/06/2012, 09:22:14, Note,2
01/06/2012, 09:36:08, Note,4
01/06/2012, 09:36:09, Note,3
01/06/2012, 09:36:12, Note,1
01/06/2012, 09:36:12, Note,2
01/06/2012, 09:36:13, Note,2
01/06/2012, 09:36:13, Note,4
01/06/2012, 09:36:13, Note,3
01/06/2012, 09:36:13, Note,4
01/06/2012, 09:36:13, Note,5
01/06/2012, 09:36:14, Note,4
01/06/2012, 09:36:14, Note,3
01/06/2012, 09:36:14, Note,4
01/06/2012, 09:36:14, Note,3
01/06/2012, 09:36:16, Switching to instrument 0
01/06/2012, 09:36:18, Note,4
01/06/2012, 09:36:20, Note,3
01/06/2012, 09:36:20, Note,4
01/06/2012, 09:36:21, Note,4
01/06/2012, 09:36:21, Note,5
01/06/2012, 09:36:21, Note,5
01/06/2012, 09:36:22, Note,4
01/06/2012, 09:36:22, Note,3
01/06/2012, 09:36:23, Note,1
01/06/2012, 09:36:23, Note,1
01/06/2012, 09:36:24, Switching to instrument 1
01/06/2012, 09:36:25, Note,3
01/06/2012, 09:36:26, Note,4
01/06/2012, 09:36:26, Note,4
01/06/2012, 09:36:27, Note,5
01/06/2012, 09:36:28, Note,3
01/06/2012, 09:36:30, Switching to instrument 2
01/06/2012, 09:36:33, Note,2
01/06/2012, 09:36:33, Note,1
01/06/2012, 09:36:33, Note,3
01/06/2012, 09:36:33, Note,4
01/06/2012, 09:36:34, Note,1
01/06/2012, 09:36:34, Note,2
01/06/2012, 09:36:36, Note,2
01/06/2012, 09:36:36, Note,1
01/06/2012, 09:36:36, Switching to instrument 3
01/06/2012, 09:36:38, Note,1
01/06/2012, 09:36:38, Note,3
01/06/2012, 09:36:38, Note,2
01/06/2012, 09:36:38, Note,4
01/06/2012, 09:36:39, Note,3
01/06/2012, 09:36:39, Note,4
01/06/2012, 09:36:39, Note,5
01/06/2012, 09:36:39, Note,3
01/06/2012, 09:36:40, Note,4
01/06/2012, 09:36:40, Note,3
01/06/2012, 09:36:40, Note,2
01/06/2012, 09:36:40, Note,3
01/06/2012, 09:36:41, Note,1
01/06/2012, 09:36:41, Note,3
01/06/2012, 09:36:41, Note,5
01/06/2012, 09:36:41, Note,4
01/06/2012, 09:36:42, Note,7
01/06/2012, 09:36:42, Note,6
01/06/2012, 09:36:42, Note,4
01/06/2012, 09:36:42, Note,5
01/06/2012, 09:36:42, Note,7
01/06/2012, 09:36:42, Note,8
01/06/2012, 09:36:43, Note,7
01/06/2012, 09:36:43, Note,5
01/06/2012, 09:36:43, Note,6
01/06/2012, 09:36:44, Note,7
01/06/2012, 09:36:44, Note,5
01/06/2012, 09:36:44, Note,6
01/06/2012, 09:36:44, Note,4
01/06/2012, 09:36:44, Note,4
01/06/2012, 09:36:44, Note,2
01/06/2012, 09:36:44, Note,1
01/06/2012, 09:45:27, Note,6
01/06/2012, 09:45:28, Note,7
01/06/2012, 09:45:28, Note,8
01/06/2012, 09:45:31, Note,3
01/06/2012, 09:45:31, Note,3
01/06/2012, 09:45:31, Note,7
01/06/2012, 09:45:31, Note,6
01/06/2012, 09:45:31, Note,3
01/06/2012, 09:45:31, Note,5
01/06/2012, 09:45:31, Note,3
01/06/2012, 09:45:31, Note,5
01/06/2012, 09:45:31, Note,4
01/06/2012, 09:45:31, Note,5
01/06/2012, 09:45:31, Note,5
01/06/2012, 09:45:32, Note,3
01/06/2012, 09:45:32, Note,2
01/06/2012, 09:45:33, Note,2
01/06/2012, 09:45:33, Note,5
01/06/2012, 09:45:33, Note,6
01/06/2012, 09:45:33, Note,3
01/06/2012, 09:45:34, Note,3
01/06/2012, 09:45:34, Note,7
01/06/2012, 09:45:34, Note,7
01/06/2012, 09:45:34, Note,7
01/06/2012, 09:45:34, Note,7
01/06/2012, 09:45:35, Note,7
01/06/2012, 09:45:36, Note,7
01/06/2012, 09:45:37, Note,7
01/06/2012, 09:45:37, Note,7
01/06/2012, 09:45:38, Note,6
01/06/2012, 09:45:39, Note,6
01/06/2012, 09:45:40, Note,5
01/06/2012, 09:45:40, Note,5
01/06/2012, 09:45:40, Note,4
01/06/2012, 09:45:41, Note,5
01/06/2012, 09:45:41, Note,5
01/06/2012, 09:45:41, Note,5
01/06/2012, 09:45:41, Note,4
01/06/2012, 09:45:42, Note,3
01/06/2012, 09:45:42, Note,2
01/06/2012, 09:45:42, Note,1
01/06/2012, 09:45:43, Note,2
01/06/2012, 09:45:43, Note,1
01/06/2012, 09:45:44, Note,2
01/06/2012, 09:45:44, Note,3
01/06/2012, 09:45:45, Note,4
01/06/2012, 09:45:45, Note,5
01/06/2012, 09:45:45, Note,4
01/06/2012, 09:45:46, Note,3
01/06/2012, 09:45:46, Note,2
01/06/2012, 09:45:46, Note,2
01/06/2012, 09:45:47, Note,4
01/06/2012, 09:45:47, Note,5
01/06/2012, 09:45:47, Note,6
01/06/2012, 09:45:47, Note,6
01/06/2012, 09:45:47, Note,6
01/06/2012, 09:45:47, Note,7
01/06/2012, 09:45:48, Note,6
01/06/2012, 09:45:48, Note,6
01/06/2012, 09:45:49, Note,7
01/06/2012, 09:45:49, Note,6
01/06/2012, 09:45:50, Note,7
01/06/2012, 09:45:50, Note,7
01/06/2012, 09:45:50, Note,6
01/06/2012, 09:45:50, Note,5
01/06/2012, 09:45:50, Note,5
01/06/2012, 09:45:50, Note,5
01/06/2012, 09:45:51, Note,4
01/06/2012, 09:45:51, Note,5
01/06/2012, 09:45:51, Note,6
01/06/2012, 09:45:51, Note,5
01/06/2012, 09:45:51, Note,4
01/06/2012, 09:45:52, Note,3
01/06/2012, 09:45:52, Note,3
01/06/2012, 09:45:52, Note,4
01/06/2012, 09:45:52, Note,5
01/06/2012, 09:45:52, Note,6
01/06/2012, 09:45:52, Note,6
01/06/2012, 09:45:53, Note,5
01/06/2012, 09:45:53, Note,3
01/06/2012, 09:45:53, Note,3
01/06/2012, 09:45:53, Note,2
01/06/2012, 09:45:54, Note,2
01/06/2012, 09:45:54, Note,2
01/06/2012, 09:45:54, Note,2
01/06/2012, 09:45:55, Switching to instrument 4
01/06/2012, 09:45:56, Note,1
01/06/2012, 09:45:56, Note,1
01/06/2012, 09:45:56, Note,2
01/06/2012, 09:45:56, Note,2
01/06/2012, 09:45:56, Note,3
01/06/2012, 09:45:57, Note,4
01/06/2012, 09:45:57, Note,5
01/06/2012, 09:45:57, Note,5
01/06/2012, 09:45:57, Note,6
01/06/2012, 09:45:57, Note,6
01/06/2012, 09:45:58, Note,7
01/06/2012, 09:45:58, Note,7
01/06/2012, 09:45:59, Note,5
01/06/2012, 09:45:59, Note,4
01/06/2012, 09:45:59, Note,5
01/06/2012, 09:45:59, Note,5
01/06/2012, 09:46:00, Note,6
01/06/2012, 09:46:00, Note,6
01/06/2012, 09:46:00, Note,6
01/06/2012, 09:46:00, Note,5
01/06/2012, 09:46:00, Note,5
01/06/2012, 09:46:00, Note,4
01/06/2012, 09:46:01, Note,3
01/06/2012, 09:46:01, Note,3
01/06/2012, 09:46:01, Note,3
01/06/2012, 09:46:01, Note,4
01/06/2012, 09:46:01, Note,5
01/06/2012, 09:46:01, Note,6
01/06/2012, 09:46:02, Note,6
01/06/2012, 09:46:02, Note,5
01/06/2012, 09:46:02, Note,5
01/06/2012, 09:46:02, Note,6
01/06/2012, 09:46:03, Note,5
01/06/2012, 09:46:03, Note,4
01/06/2012, 09:46:04, Note,4
01/06/2012, 09:46:04, Note,4
01/06/2012, 09:46:04, Note,4
01/06/2012, 09:46:04, Note,5
01/06/2012, 09:46:04, Note,5
01/06/2012, 09:46:05, Note,5
01/06/2012, 09:46:05, Note,4
01/06/2012, 09:46:05, Note,4
01/06/2012, 09:46:06, Note,3
01/06/2012, 09:46:06, Note,3
01/06/2012, 09:46:06, Note,4
01/06/2012, 09:46:06, Note,4
01/06/2012, 09:46:07, Note,2
01/06/2012, 09:46:07, Note,1
01/06/2012, 09:46:07, Switching to noises
01/06/2012, 09:46:08, Note,3
01/06/2012, 09:46:08, Note,3
01/06/2012, 09:46:09, Note,3
01/06/2012, 09:46:09, Note,4
01/06/2012, 09:46:09, Note,5
01/06/2012, 09:46:10, Note,4
01/06/2012, 09:46:10, Note,4
01/06/2012, 09:46:10, Note,3
01/06/2012, 09:46:10, Note,2
01/06/2012, 09:46:10, Note,2
01/06/2012, 09:46:11, Note,3
01/06/2012, 09:46:11, Note,4
01/06/2012, 09:46:11, Note,5
01/06/2012, 09:46:11, Note,5
01/06/2012, 09:46:11, Note,5
01/06/2012, 09:46:12, Note,5
01/06/2012, 09:46:13, Note,5
01/06/2012, 09:46:13, Note,3
01/06/2012, 09:46:13, Note,2
01/06/2012, 09:46:14, Note,3
01/06/2012, 09:46:14, Note,4
01/06/2012, 09:46:14, Note,5
01/06/2012, 09:46:15, Note,6
01/06/2012, 09:46:15, Note,6
01/06/2012, 09:46:15, Note,5
01/06/2012, 09:46:15, Note,6
01/06/2012, 09:46:15, Note,4
01/06/2012, 09:46:15, Note,3
01/06/2012, 09:46:16, Note,2
01/06/2012, 09:46:16, Note,3
01/06/2012, 09:46:16, Note,3
01/06/2012, 09:46:17, Note,4
01/06/2012, 09:46:20, Note,4
01/06/2012, 09:46:20, Note,3
01/06/2012, 09:46:20, Note,2
01/06/2012, 09:46:21, Note,2
01/06/2012, 09:46:22, Note,7
01/06/2012, 09:46:22, Note,1
01/06/2012, 09:46:22, Note,2
01/06/2012, 09:46:23, Note,3
01/06/2012, 09:46:24, Note,5
01/06/2012, 09:46:24, Note,5
01/06/2012, 09:46:24, Note,6
01/06/2012, 09:46:25, Note,4
01/06/2012, 09:46:25, Note,3
01/06/2012, 09:46:26, Note,3
01/06/2012, 09:46:26, Note,1
01/06/2012, 09:46:26, Note,1
01/06/2012, 09:46:27, Note,1
01/06/2012, 09:46:27, Note,2
01/06/2012, 09:46:27, Note,2
01/06/2012, 09:46:27, Note,2
01/06/2012, 09:46:27, Note,1
01/06/2012, 09:46:27, Note,1
01/06/2012, 09:46:28, Note,2
01/06/2012, 09:46:28, Note,2
01/06/2012, 09:46:28, Note,3
01/06/2012, 09:46:28, Note,3
01/06/2012, 09:46:28, Note,4
01/06/2012, 09:46:28, Note,4
01/06/2012, 09:46:29, Note,4
01/06/2012, 09:46:29, Note,3
01/06/2012, 09:46:29, Note,4
01/06/2012, 09:46:30, Note,6
01/06/2012, 09:46:31, Note,5
01/06/2012, 09:46:31, Note,2
01/06/2012, 09:46:31, Note,1
01/06/2012, 09:46:32, Switching to instrument 0
01/06/2012, 09:46:33, Note,2
01/06/2012, 09:46:33, Note,3
01/06/2012, 09:46:33, Note,4
01/06/2012, 09:46:34, Note,4
01/06/2012, 09:46:35, Note,3
01/06/2012, 09:46:35, Note,3
01/06/2012, 09:46:36, Note,4
01/06/2012, 09:46:36, Note,5
01/06/2012, 09:46:36, Note,6
01/06/2012, 09:46:36, Note,6
01/06/2012, 09:46:36, Note,6
01/06/2012, 09:46:37, Note,5
01/06/2012, 09:46:38, Note,5
01/06/2012, 09:46:38, Note,5
01/06/2012, 09:46:38, Note,6
01/06/2012, 09:46:38, Note,7
01/06/2012, 09:46:38, Note,7
01/06/2012, 09:46:39, Note,7
01/06/2012, 09:46:39, Note,6
01/06/2012, 09:46:39, Note,6
01/06/2012, 09:46:39, Note,6
01/06/2012, 09:46:39, Note,5
01/06/2012, 09:46:39, Note,5
01/06/2012, 09:46:39, Note,4
01/06/2012, 09:46:40, Note,4
01/06/2012, 09:46:40, Note,4
01/06/2012, 09:46:40, Note,8
01/06/2012, 09:46:40, Note,5
01/06/2012, 09:46:40, Note,5
01/06/2012, 09:46:40, Note,7
01/06/2012, 09:46:41, Note,4
01/06/2012, 09:46:41, Note,7
01/06/2012, 09:46:41, Note,3
01/06/2012, 09:46:41, Note,2
01/06/2012, 09:46:41, Note,2
01/06/2012, 09:46:42, Note,2
01/06/2012, 09:46:42, Note,3
01/06/2012, 09:46:42, Note,3
01/06/2012, 09:46:42, Note,2
01/06/2012, 09:46:42, Note,8
01/06/2012, 09:46:42, Note,2
01/06/2012, 09:46:43, Note,2
01/06/2012, 09:46:43, Note,2
01/06/2012, 09:46:43, Note,3
01/06/2012, 09:46:44, Note,7
01/06/2012, 09:46:44, Note,3
01/06/2012, 09:46:45, Note,4
01/06/2012, 09:46:45, Note,4
01/06/2012, 09:46:45, Note,4
01/06/2012, 09:46:46, Note,3
01/06/2012, 09:46:46, Note,3
01/06/2012, 09:46:46, Note,4
01/06/2012, 09:46:47, Note,4
01/06/2012, 09:46:47, Note,4
01/06/2012, 09:46:47, Note,4
01/06/2012, 09:46:48, Note,4
01/06/2012, 09:46:48, Note,4
01/06/2012, 09:46:48, Note,3
01/06/2012, 09:46:48, Note,3
01/06/2012, 09:46:48, Note,2
01/06/2012, 09:46:49, Note,1
01/06/2012, 09:46:49, Note,2
01/06/2012, 09:46:50, Note,2
01/06/2012, 09:46:51, Note,2
01/06/2012, 09:46:51, Note,3
01/06/2012, 09:46:51, Note,3
01/06/2012, 09:46:51, Note,3
01/06/2012, 09:46:52, Note,3
01/06/2012, 09:46:52, Note,3
01/06/2012, 09:46:52, Note,3
01/06/2012, 09:46:53, Note,3
01/06/2012, 09:46:53, Note,3
01/06/2012, 09:46:53, Note,4
01/06/2012, 09:46:54, Note,4
01/06/2012, 09:46:54, Note,4
01/06/2012, 09:46:54, Note,4
01/06/2012, 09:46:55, Note,4
01/06/2012, 09:46:55, Note,5
01/06/2012, 09:46:55, Note,5
01/06/2012, 09:46:56, Note,4
