S Configured
00/00/0000, 00:00:00, Master Init Complete
05/08/2012, 16:23:03, Note,3
05/08/2012, 16:23:04, Note,4
05/08/2012, 16:23:04, Note,2
05/08/2012, 16:23:04, Note,6
05/08/2012, 16:23:04, Note,4
05/08/2012, 16:23:05, Note,7
05/08/2012, 16:23:05, Note,5
05/08/2012, 16:23:05, Note,6
05/08/2012, 16:23:05, Note,8
05/08/2012, 16:23:05, Note,7
05/08/2012, 16:23:05, Note,8
05/08/2012, 16:23:06, Note,7
05/08/2012, 16:23:07, Note,7
05/08/2012, 16:23:07, Note,6
05/08/2012, 16:23:07, Note,8
05/08/2012, 16:23:07, Note,5
05/08/2012, 16:23:07, Note,4
05/08/2012, 16:23:07, Note,3
05/08/2012, 16:23:08, Note,6
05/08/2012, 16:23:08, Note,2
05/08/2012, 16:23:08, Note,1
05/08/2012, 16:23:09, Switching to noises
05/08/2012, 16:23:10, Note,6
05/08/2012, 16:23:18, Note,6
05/08/2012, 16:23:18, Note,5
05/08/2012, 16:23:18, Note,4
05/08/2012, 16:23:19, Note,1
05/08/2012, 16:23:19, Note,1
05/08/2012, 16:23:20, Note,2
05/08/2012, 16:23:20, Note,3
05/08/2012, 16:23:20, Note,3
05/08/2012, 16:23:21, Note,5
05/08/2012, 16:23:21, Note,6
05/08/2012, 16:23:21, Note,8
05/08/2012, 16:23:22, Note,6
05/08/2012, 16:23:24, Note,6
05/08/2012, 16:23:34, Screen Saver
05/08/2012, 16:23:44, Note,6
05/08/2012, 16:23:45, Note,6
05/08/2012, 16:23:46, Note,6
05/08/2012, 16:23:47, Note,6
05/08/2012, 16:23:50, Note,6
05/08/2012, 16:23:50, Note,6
05/08/2012, 16:23:53, Note,8
05/08/2012, 16:24:00, Note,8
05/08/2012, 16:24:02, Note,6
05/08/2012, 16:24:08, Note,6
05/08/2012, 16:24:18, Note,6
05/08/2012, 16:24:21, Note,6
05/08/2012, 16:24:29, Note,6
05/08/2012, 16:24:31, Note,6
05/08/2012, 16:24:32, Note,6
05/08/2012, 16:24:37, Note,6
05/08/2012, 16:24:46, Note,7
05/08/2012, 16:24:46, Note,6
05/08/2012, 16:24:46, Note,5
05/08/2012, 16:24:47, Note,2
05/08/2012, 16:24:48, Note,1
05/08/2012, 16:24:49, Note,2
05/08/2012, 16:24:49, Note,5
05/08/2012, 16:24:49, Note,6
05/08/2012, 16:24:50, Note,7
05/08/2012, 16:24:51, Note,8
05/08/2012, 16:24:51, Note,6
05/08/2012, 16:24:53, Switching to instrument 0
05/08/2012, 16:24:54, Note,1
05/08/2012, 16:24:55, Note,2
05/08/2012, 16:24:55, Note,3
05/08/2012, 16:24:56, Note,4
05/08/2012, 16:24:56, Note,3
05/08/2012, 16:24:56, Note,2
05/08/2012, 16:24:56, Note,3
05/08/2012, 16:24:57, Note,4
05/08/2012, 16:24:57, Note,7
05/08/2012, 16:24:57, Note,8
05/08/2012, 16:25:01, Note,6
05/08/2012, 16:25:08, Note,6
05/08/2012, 16:25:09, Note,6
05/08/2012, 16:25:11, Note,6
05/08/2012, 16:25:11, Note,6
05/08/2012, 16:25:12, Note,6
05/08/2012, 16:25:17, Note,6
05/08/2012, 16:25:18, Note,6
05/08/2012, 16:25:22, Note,6
05/08/2012, 16:25:24, Note,6
05/08/2012, 16:25:28, Note,6
05/08/2012, 16:25:34, Note,6
05/08/2012, 16:25:35, Note,6
05/08/2012, 16:25:40, Note,6
05/08/2012, 16:25:42, Note,6
05/08/2012, 16:25:42, Note,6
05/08/2012, 16:25:49, Note,6
05/08/2012, 16:25:51, Note,6
05/08/2012, 16:25:54, Note,6
05/08/2012, 16:25:57, Note,6
05/08/2012, 16:26:06, Note,6
05/08/2012, 16:26:17, Screen Saver
05/08/2012, 16:26:21, Note,6
05/08/2012, 16:26:26, Note,6
05/08/2012, 16:26:31, Note,6
05/08/2012, 16:26:33, Note,6
05/08/2012, 16:26:33, Note,6
05/08/2012, 16:26:41, Note,8
05/08/2012, 16:26:41, Note,7
05/08/2012, 16:26:41, Note,5
05/08/2012, 16:26:42, Note,2
05/08/2012, 16:26:42, Note,2
05/08/2012, 16:26:42, Note,1
05/08/2012, 16:26:42, Note,1
05/08/2012, 16:26:43, Note,2
05/08/2012, 16:26:43, Note,3
05/08/2012, 16:26:43, Note,6
05/08/2012, 16:26:43, Note,7
05/08/2012, 16:26:44, Note,8
05/08/2012, 16:26:44, Note,8
05/08/2012, 16:26:44, Note,7
05/08/2012, 16:26:45, Note,6
05/08/2012, 16:26:45, Note,4
05/08/2012, 16:26:45, Note,2
05/08/2012, 16:26:45, Note,1
05/08/2012, 16:26:46, Note,6
05/08/2012, 16:26:49, Note,6
05/08/2012, 16:26:52, Note,6
05/08/2012, 16:26:53, Note,6
05/08/2012, 16:26:54, Note,6
05/08/2012, 16:26:57, Note,6
05/08/2012, 16:26:59, Note,6
05/08/2012, 16:27:08, Note,6
05/08/2012, 16:27:14, Note,6
05/08/2012, 16:27:15, Note,6
05/08/2012, 16:27:16, Note,6
05/08/2012, 16:27:19, Note,6
05/08/2012, 16:27:22, Note,6
05/08/2012, 16:27:29, Note,6
05/08/2012, 16:27:30, Note,8
05/08/2012, 16:27:40, Note,6
05/08/2012, 16:27:43, Note,6
05/08/2012, 16:27:45, Note,6
05/08/2012, 16:27:45, Note,6
05/08/2012, 16:27:46, Note,6
05/08/2012, 16:27:47, Note,6
05/08/2012, 16:27:54, Note,6
05/08/2012, 16:27:56, Note,6
05/08/2012, 16:27:57, Note,6
05/08/2012, 16:28:03, Note,4
05/08/2012, 16:28:03, Note,5
05/08/2012, 16:28:03, Note,6
05/08/2012, 16:28:04, Note,8
05/08/2012, 16:28:04, Note,7
05/08/2012, 16:28:04, Note,6
05/08/2012, 16:28:04, Note,5
05/08/2012, 16:28:05, Note,4
05/08/2012, 16:28:05, Note,5
05/08/2012, 16:28:05, Note,6
05/08/2012, 16:28:05, Note,7
05/08/2012, 16:28:06, Note,5
05/08/2012, 16:28:06, Note,4
05/08/2012, 16:28:06, Note,3
05/08/2012, 16:28:06, Note,2
05/08/2012, 16:28:11, Note,6
05/08/2012, 16:28:12, Note,6
05/08/2012, 16:28:12, Note,6
05/08/2012, 16:28:14, Note,6
05/08/2012, 16:28:19, Note,6
05/08/2012, 16:28:28, Note,6
05/08/2012, 16:28:28, Note,6
05/08/2012, 16:28:30, Note,6
05/08/2012, 16:28:33, Note,6
05/08/2012, 16:28:35, Note,6
05/08/2012, 16:28:37, Note,8
05/08/2012, 16:28:38, Note,8
05/08/2012, 16:28:49, Screen Saver
05/08/2012, 16:28:53, Note,6
05/08/2012, 16:28:58, Note,6
05/08/2012, 16:29:01, Note,6
05/08/2012, 16:29:06, Note,6
