Configured
00/00/0000, 00:00:00, Master Init Complete
11/11/2012, 15:44:31, Note,1
11/11/2012, 15:44:31, Note,1
11/11/2012, 15:44:31, Note,2
11/11/2012, 15:44:31, Note,1
11/11/2012, 15:44:31, Note,4
11/11/2012, 15:44:32, Note,4
11/11/2012, 15:44:32, Note,1
11/11/2012, 15:44:32, Note,4
11/11/2012, 15:44:32, Note,3
11/11/2012, 15:44:32, Note,1
11/11/2012, 15:44:32, Note,4
11/11/2012, 15:44:32, Note,4
11/11/2012, 15:44:32, Note,2
11/11/2012, 15:44:33, Note,1
11/11/2012, 15:44:33, Note,5
11/11/2012, 15:44:33, Note,3
11/11/2012, 15:44:33, Note,6
11/11/2012, 15:44:33, Note,7
11/11/2012, 15:44:33, Note,3
11/11/2012, 15:44:34, Note,7
11/11/2012, 15:44:34, Note,6
11/11/2012, 15:44:34, Note,6
11/11/2012, 15:44:34, Note,5
11/11/2012, 15:44:34, Note,4
11/11/2012, 15:44:34, Note,5
11/11/2012, 15:44:34, Note,6
11/11/2012, 15:44:34, Note,7
11/11/2012, 15:44:34, Note,6
11/11/2012, 15:44:34, Note,7
11/11/2012, 15:44:35, Note,5
11/11/2012, 15:44:35, Note,6
11/11/2012, 15:44:35, Note,7
11/11/2012, 15:44:35, Note,7
11/11/2012, 15:44:35, Note,7
11/11/2012, 15:44:36, Note,8
11/11/2012, 15:44:36, Note,5
11/11/2012, 15:44:36, Note,7
11/11/2012, 15:44:36, Note,6
11/11/2012, 15:44:36, Note,6
11/11/2012, 15:44:37, Note,6
11/11/2012, 15:44:37, Note,4
11/11/2012, 15:44:37, Note,4
11/11/2012, 15:44:37, Note,1
11/11/2012, 15:44:37, Note,3
11/11/2012, 15:44:38, Note,4
11/11/2012, 15:44:38, Note,1
11/11/2012, 15:44:38, Note,4
11/11/2012, 15:44:38, Note,3
11/11/2012, 15:44:38, Switching to instrument 1
11/11/2012, 15:44:39, Note,3
11/11/2012, 15:44:39, Note,1
11/11/2012, 15:44:39, Note,2
11/11/2012, 15:44:39, Note,3
11/11/2012, 15:44:39, Note,4
11/11/2012, 15:44:40, Note,3
11/11/2012, 15:44:40, Note,2
11/11/2012, 15:44:40, Note,1
11/11/2012, 15:44:40, Note,1
11/11/2012, 15:44:40, Note,3
11/11/2012, 15:44:40, Note,4
11/11/2012, 15:44:40, Note,1
11/11/2012, 15:44:40, Note,3
11/11/2012, 15:44:41, Note,4
11/11/2012, 15:44:41, Note,4
11/11/2012, 15:44:41, Note,5
11/11/2012, 15:44:41, Note,4
11/11/2012, 15:44:41, Note,5
11/11/2012, 15:44:41, Note,6
11/11/2012, 15:44:42, Note,5
11/11/2012, 15:44:42, Note,4
11/11/2012, 15:44:42, Note,5
11/11/2012, 15:44:42, Note,6
11/11/2012, 15:44:42, Note,5
11/11/2012, 15:44:43, Note,5
11/11/2012, 15:44:43, Note,2
11/11/2012, 15:44:43, Note,3
11/11/2012, 15:44:43, Note,2
11/11/2012, 15:44:43, Note,3
11/11/2012, 15:44:44, Note,4
11/11/2012, 15:44:44, Note,6
11/11/2012, 15:44:44, Note,5
11/11/2012, 15:44:44, Note,3
11/11/2012, 15:44:45, Note,1
11/11/2012, 15:44:46, Switching to instrument 2
11/11/2012, 15:44:46, Note,3
11/11/2012, 15:44:46, Note,2
11/11/2012, 15:44:47, Note,3
11/11/2012, 15:44:47, Note,2
11/11/2012, 15:44:48, Note,1
11/11/2012, 15:44:48, Note,3
11/11/2012, 15:44:48, Note,4
11/11/2012, 15:44:48, Note,3
11/11/2012, 15:44:48, Note,2
11/11/2012, 15:44:48, Note,1
11/11/2012, 15:44:48, Note,3
11/11/2012, 15:44:48, Note,2
11/11/2012, 15:44:48, Note,4
11/11/2012, 15:44:49, Note,4
11/11/2012, 15:44:49, Note,5
11/11/2012, 15:44:49, Note,5
11/11/2012, 15:44:49, Note,3
11/11/2012, 15:44:49, Note,4
11/11/2012, 15:44:49, Note,4
11/11/2012, 15:44:49, Note,6
11/11/2012, 15:44:50, Note,5
11/11/2012, 15:44:50, Note,4
11/11/2012, 15:44:50, Note,5
11/11/2012, 15:44:50, Note,6
11/11/2012, 15:44:50, Note,6
11/11/2012, 15:44:50, Note,5
11/11/2012, 15:44:50, Note,5
11/11/2012, 15:44:51, Note,4
11/11/2012, 15:44:52, Note,5
11/11/2012, 15:44:52, Note,4
11/11/2012, 15:44:52, Note,2
11/11/2012, 15:44:52, Note,2
11/11/2012, 15:44:52, Note,3
11/11/2012, 15:44:52, Note,2
11/11/2012, 15:44:52, Note,3
11/11/2012, 15:44:53, Note,1
11/11/2012, 15:44:53, Note,2
11/11/2012, 15:44:53, Note,3
11/11/2012, 15:44:53, Note,2
11/11/2012, 15:44:53, Note,2
11/11/2012, 15:44:53, Note,1
11/11/2012, 15:44:54, Note,1
11/11/2012, 15:44:54, Note,2
11/11/2012, 15:44:55, Note,3
11/11/2012, 15:44:55, Note,2
11/11/2012, 15:44:55, Note,2
11/11/2012, 15:44:55, Note,2
11/11/2012, 15:44:55, Note,1
11/11/2012, 15:44:55, Note,1
11/11/2012, 15:44:55, Note,2
11/11/2012, 15:44:56, Note,3
11/11/2012, 15:44:56, Note,1
11/11/2012, 15:44:56, Note,2
11/11/2012, 15:44:56, Note,2
11/11/2012, 15:44:56, Note,3
11/11/2012, 15:44:56, Note,4
11/11/2012, 15:44:57, Note,2
11/11/2012, 15:44:57, Note,1
11/11/2012, 15:44:57, Note,3
11/11/2012, 15:44:57, Note,2
