00/00/0000, 00:00:00, Master Init Complete
12/11/2012, 12:18:35, Note,4
12/11/2012, 12:18:35, Note,4
12/11/2012, 12:18:35, Note,1
12/11/2012, 12:18:37, Note,4
12/11/2012, 12:18:38, Note,4
12/11/2012, 12:18:38, Note,1
12/11/2012, 12:18:38, Note,1
12/11/2012, 12:18:39, Note,4
12/11/2012, 12:18:39, Note,4
12/11/2012, 12:18:40, Note,1
12/11/2012, 12:18:40, Note,1
12/11/2012, 12:18:41, Note,4
12/11/2012, 12:18:41, Note,4
12/11/2012, 12:18:41, Note,4
12/11/2012, 12:18:41, Note,4
12/11/2012, 12:18:42, Note,1
12/11/2012, 12:18:42, Note,4
12/11/2012, 12:18:43, Note,4
12/11/2012, 12:18:43, Note,4
12/11/2012, 12:18:43, Note,4
12/11/2012, 12:18:43, Note,4
12/11/2012, 12:18:44, Note,1
12/11/2012, 12:18:44, Note,4
12/11/2012, 12:18:44, Note,4
12/11/2012, 12:18:44, Note,4
12/11/2012, 12:18:45, Note,4
12/11/2012, 12:18:45, Note,1
12/11/2012, 12:18:46, Note,4
12/11/2012, 12:18:47, Note,4
12/11/2012, 12:18:47, Note,1
12/11/2012, 12:18:48, Note,4
12/11/2012, 12:18:48, Note,4
12/11/2012, 12:18:49, Note,4
12/11/2012, 12:18:49, Note,4
12/11/2012, 12:18:49, Note,4
12/11/2012, 12:18:50, Note,4
12/11/2012, 12:18:51, Note,4
12/11/2012, 12:18:52, Note,4
12/11/2012, 12:18:52, Note,4
12/11/2012, 12:18:52, Note,4
12/11/2012, 12:18:52, Note,4
12/11/2012, 12:18:53, Note,4
12/11/2012, 12:18:53, Note,4
12/11/2012, 12:18:54, Note,4
12/11/2012, 12:18:54, Note,4
12/11/2012, 12:18:54, Note,5
12/11/2012, 12:18:54, Note,1
12/11/2012, 12:18:56, Note,4
12/11/2012, 12:18:56, Note,1
12/11/2012, 12:18:56, Note,1
12/11/2012, 12:18:57, Note,4
12/11/2012, 12:18:58, Note,4
12/11/2012, 12:18:58, Note,4
12/11/2012, 12:18:58, Note,1
12/11/2012, 12:18:59, Note,4
12/11/2012, 12:18:59, Note,4
12/11/2012, 12:18:59, Note,4
12/11/2012, 12:19:01, Note,4
12/11/2012, 12:19:01, Note,4
12/11/2012, 12:19:01, Note,1
12/11/2012, 12:19:01, Note,4
12/11/2012, 12:19:02, Note,4
12/11/2012, 12:19:02, Note,1
12/11/2012, 12:19:03, Note,4
12/11/2012, 12:19:03, Note,4
12/11/2012, 12:19:03, Note,4
12/11/2012, 12:19:04, Note,4
12/11/2012, 12:19:04, Note,5
12/11/2012, 12:19:05, Note,4
12/11/2012, 12:19:05, Note,4
12/11/2012, 12:19:05, Note,4
12/11/2012, 12:19:05, Note,4
12/11/2012, 12:19:06, Note,4
12/11/2012, 12:19:06, Note,4
12/11/2012, 12:19:07, Note,4
12/11/2012, 12:19:07, Note,4
12/11/2012, 12:19:07, Note,4
12/11/2012, 12:19:07, Note,4
12/11/2012, 12:19:08, Note,1
12/11/2012, 12:19:08, Note,1
12/11/2012, 12:19:08, Note,4
12/11/2012, 12:19:10, Note,4
12/11/2012, 12:19:10, Note,5
12/11/2012, 12:19:10, Note,4
12/11/2012, 12:19:11, Note,4
12/11/2012, 12:19:11, Note,4
12/11/2012, 12:19:12, Note,4
12/11/2012, 12:19:12, Note,4
12/11/2012, 12:19:13, Note,4
12/11/2012, 12:19:14, Note,4
12/11/2012, 12:19:14, Note,4
12/11/2012, 12:19:14, Note,1
12/11/2012, 12:19:14, Note,4
12/11/2012, 12:19:14, Note,4
12/11/2012, 12:19:15, Note,5
12/11/2012, 12:19:15, Note,4
12/11/2012, 12:19:16, Note,5
12/11/2012, 12:19:16, Note,4
12/11/2012, 12:19:16, Note,4
12/11/2012, 12:19:16, Note,4
12/11/2012, 12:19:17, Note,4
12/11/2012, 12:19:17, Note,4
12/11/2012, 12:19:17, Note,4
12/11/2012, 12:19:17, Note,4
12/11/2012, 12:19:17, Note,4
12/11/2012, 12:19:18, Note,1
12/11/2012, 12:19:18, Note,4
12/11/2012, 12:19:18, Note,1
12/11/2012, 12:19:18, Note,4
12/11/2012, 12:19:18, Note,4
12/11/2012, 12:19:19, Note,4
12/11/2012, 12:19:19, Note,1
12/11/2012, 12:19:19, Note,4
12/11/2012, 12:19:19, Note,1
12/11/2012, 12:19:20, Note,1
12/11/2012, 12:19:20, Note,4
12/11/2012, 12:19:21, Note,1
12/11/2012, 12:19:22, Note,4
12/11/2012, 12:19:22, Note,4
12/11/2012, 12:19:22, Note,4
12/11/2012, 12:19:23, Note,4
12/11/2012, 12:19:23, Note,4
12/11/2012, 12:19:23, Note,4
12/11/2012, 12:19:23, Note,4
12/11/2012, 12:19:24, Note,4
12/11/2012, 12:19:25, Note,4
12/11/2012, 12:19:25, Note,4
12/11/2012, 12:19:26, Note,4
12/11/2012, 12:19:27, Note,4
12/11/2012, 12:19:27, Note,1
12/11/2012, 12:19:29, Note,4
12/11/2012, 12:19:29, Note,1
12/11/2012, 12:19:29, Note,4
12/11/2012, 12:19:29, Note,4
12/11/2012, 12:19:29, Note,5
12/11/2012, 12:19:30, Note,4
12/11/2012, 12:19:30, Note,4
12/11/2012, 12:19:31, Note,4
12/11/2012, 12:19:31, Note,4
12/11/2012, 12:19:32, Note,4
12/11/2012, 12:19:32, Note,4
12/11/2012, 12:19:32, Note,4
12/11/2012, 12:19:33, Note,4
12/11/2012, 12:19:33, Note,1
12/11/2012, 12:19:34, Note,4
12/11/2012, 12:19:34, Note,5
12/11/2012, 12:19:34, Note,4
12/11/2012, 12:19:34, Note,1
12/11/2012, 12:19:34, Note,4
12/11/2012, 12:19:35, Note,4
12/11/2012, 12:19:35, Note,4
12/11/2012, 12:19:36, Note,4
12/11/2012, 12:19:36, Note,4
12/11/2012, 12:19:37, Note,1
12/11/2012, 12:19:37, Note,4
12/11/2012, 12:19:37, Note,4
12/11/2012, 12:19:38, Note,1
12/11/2012, 12:19:39, Note,4
12/11/2012, 12:19:40, Note,4
12/11/2012, 12:19:40, Note,4
12/11/2012, 12:19:40, Note,4
12/11/2012, 12:19:41, Note,5
12/11/2012, 12:19:41, Note,4
12/11/2012, 12:19:41, Note,5
12/11/2012, 12:19:42, Note,4
12/11/2012, 12:19:43, Note,4
12/11/2012, 12:19:44, Note,4
12/11/2012, 12:19:44, Note,4
12/11/2012, 12:19:45, Note,4
12/11/2012, 12:19:45, Note,1
12/11/2012, 12:19:45, Note,4
12/11/2012, 12:19:46, Note,4
12/11/2012, 12:19:46, Note,4
12/11/2012, 12:19:47, Note,4
12/11/2012, 12:19:48, Note,4
12/11/2012, 12:19:48, Note,4
12/11/2012, 12:19:48, Note,4
12/11/2012, 12:19:48, Note,4
12/11/2012, 12:19:48, Note,4
12/11/2012, 12:19:51, Note,4
12/11/2012, 12:19:52, Note,4
12/11/2012, 12:19:52, Note,4
12/11/2012, 12:19:53, Note,1
12/11/2012, 12:19:53, Note,4
12/11/2012, 12:19:53, Note,4
12/11/2012, 12:19:53, Note,4
12/11/2012, 12:19:54, Note,4
12/11/2012, 12:19:54, Note,4
12/11/2012, 12:19:54, Note,4
12/11/2012, 12:19:54, Note,1
12/11/2012, 12:19:55, Note,4
12/11/2012, 12:19:55, Note,4
12/11/2012, 12:19:56, Note,4
12/11/2012, 12:19:56, Note,4
12/11/2012, 12:19:56, Note,4
12/11/2012, 12:19:56, Note,4
12/11/2012, 12:19:56, Note,4
12/11/2012, 12:19:57, Note,4
12/11/2012, 12:19:57, Note,1
12/11/2012, 12:19:58, Note,4
12/11/2012, 12:19:58, Note,4
12/11/2012, 12:19:59, Note,5
12/11/2012, 12:19:59, Note,1
12/11/2012, 12:19:59, Note,4
12/11/2012, 12:20:00, Note,1
12/11/2012, 12:20:01, Note,4
12/11/2012, 12:20:01, Note,1
12/11/2012, 12:20:02, Note,4
12/11/2012, 12:20:02, Note,4
12/11/2012, 12:20:03, Note,4
12/11/2012, 12:20:04, Note,1
12/11/2012, 12:20:04, Note,4
12/11/2012, 12:20:04, Note,4
12/11/2012, 12:20:05, Note,4
12/11/2012, 12:20:05, Note,4
12/11/2012, 12:20:05, Note,5
12/11/2012, 12:20:05, Note,5
12/11/2012, 12:20:06, Note,4
12/11/2012, 12:20:07, Note,4
12/11/2012, 12:20:07, Note,4
12/11/2012, 12:20:07, Note,4
12/11/2012, 12:20:08, Note,4
12/11/2012, 12:20:08, Note,4
12/11/2012, 12:20:08, Note,4
12/11/2012, 12:20:08, Note,1
12/11/2012, 12:20:08, Note,4
12/11/2012, 12:20:09, Note,4
12/11/2012, 12:20:09, Note,1
12/11/2012, 12:20:09, Note,4
12/11/2012, 12:20:09, Note,1
12/11/2012, 12:20:09, Note,4
12/11/2012, 12:20:10, Note,4
12/11/2012, 12:20:10, Note,4
12/11/2012, 12:20:11, Note,4
12/11/2012, 12:20:11, Note,1
12/11/2012, 12:20:12, Note,1
12/11/2012, 12:20:13, Note,1
12/11/2012, 12:20:14, Note,4
12/11/2012, 12:20:14, Note,5
12/11/2012, 12:20:14, Note,4
12/11/2012, 12:20:15, Note,1
12/11/2012, 12:20:15, Note,4
12/11/2012, 12:20:16, Note,4
12/11/2012, 12:20:16, Note,1
12/11/2012, 12:20:16, Note,4
12/11/2012, 12:20:17, Note,1
12/11/2012, 12:20:17, Note,4
12/11/2012, 12:20:17, Note,1
12/11/2012, 12:20:18, Note,4
12/11/2012, 12:20:19, Note,4
12/11/2012, 12:20:19, Note,4
12/11/2012, 12:20:19, Note,4
12/11/2012, 12:20:20, Note,4
12/11/2012, 12:20:20, Note,4
12/11/2012, 12:20:20, Note,4
12/11/2012, 12:20:21, Note,4
12/11/2012, 12:20:21, Note,4
12/11/2012, 12:20:21, Note,4
12/11/2012, 12:20:22, Note,4
12/11/2012, 12:20:22, Note,4
12/11/2012, 12:20:22, Note,4
12/11/2012, 12:20:22, Note,1
12/11/2012, 12:20:22, Note,1
12/11/2012, 12:20:22, Note,4
12/11/2012, 12:20:22, Note,1
12/11/2012, 12:20:23, Note,4
12/11/2012, 12:20:23, Note,1
12/11/2012, 12:20:23, Note,1
12/11/2012, 12:20:24, Note,1
12/11/2012, 12:20:24, Note,4
12/11/2012, 12:20:25, Note,4
12/11/2012, 12:20:25, Note,4
12/11/2012, 12:20:25, Note,4
12/11/2012, 12:20:26, Note,4
12/11/2012, 12:20:27, Note,4
12/11/2012, 12:20:28, Note,4
12/11/2012, 12:20:28, Note,4
12/11/2012, 12:20:28, Note,4
12/11/2012, 12:20:28, Note,4
12/11/2012, 12:20:29, Note,4
12/11/2012, 12:20:29, Note,4
12/11/2012, 12:20:29, Note,4
12/11/2012, 12:20:29, Note,4
12/11/2012, 12:20:30, Note,4
12/11/2012, 12:20:30, Note,4
